# PACE2_2009.DATA
#
# This is the same as pace2_2001.data except the format is much simpler to read :)
# Each line is:
#  Z   A    MassExcess (keV)
#
65     156     -70107.9
65     157     -70777.3
65     158     -69484.8
65     159     -69544.9
65     160     -67848.8
65     161     -67474.4
65     162     -65660.4
65     163     -64691.9
65     164     -62116.1
66     146     -63022.3
66     147     -64469.3
66     148     -67796.8
66     149     -67836.2
66     150     -69327.7
66     151     -68866.4
66     152     -70125.7
66     153     -69145
66     154     -70403.3
66     155     -69167.1
66     156     -70537
66     157     -69435
66     158     -70419.3
66     159     -69179.3
66     160     -69682.9
66     161     -68065.5
66     162     -68190.4
66     163     -66391.9
66     164     -65976.1
66     165     -63621.4
66     166     -62594.7
66     167     -59977.8
67     148     -58346.8
67     149     -61536.2
67     150     -62017.4
67     151     -63695.9
67     152     -63710.9
67     153     -64956.1
67     154     -64872.1
67     155     -66065.1
67     156     -65790.8
67     157     -66895
67     158     -66442.3
67     159     -67343.3
67     160     -66396.9
67     161     -67212.3
67     162     -66056
67     163     -66388
67     164     -64947.3
67     165     -64907.4
67     166     -63078.7
67     167     -62327.8
67     168     -60277.7
67     169     -58806.2
67     170     -56247.7
68     150     -57987.4
68     151     -58266.4
68     152     -60437.8
68     153     -60610.5
68     154     -62625.6
68     155     -62323
68     156     -64100.8
68     157     -63425
68     158     -65142.3
68     159     -64574.3
68     160     -66062.3
68     161     -65207.5
68     162     -66345.4
68     163     -65177.3
68     164     -65951.2
68     165     -64530
68     166     -64933
68     167     -63297.8
68     168     -62997.7
68     169     -60929.5
68     170     -60117.7
68     171     -57727.8
68     172     -56492.3
68     173     -53767.4
69     151     -50566.4
69     152     -51510.9
69     153     -53863.8
69     154     -54415.8
69     155     -56691
69     156     -56944.5
69     157     -58795
69     158     -58742.3
69     159     -60374.3
69     160     -60142.3
69     161     -61807.5
69     162     -61555.4
69     163     -62738.3
69     164     -61989.2
69     165     -62937.6
69     166     -61886.2
69     167     -62548.8
69     168     -61318
69     169     -61281.5
69     170     -59803.1
69     171     -59217.8
69     172     -57383.6
69     173     -56267.4
