# AUDI_WAPSTRA_2003.DATA
#
# 
# Each line is:
#  Z   A    MassExcess (keV)
#
29 60 -58344.1
29 61 -61983.6
29 62 -62797.8
29 63 -65579.5
29 64 -65424.2
29 65 -67263.7
29 66 -66258.3
29 67 -67318.8
29 68 -65567
29 69 -65736.2
29 70 -62976.1
29 71 -62711.1
29 72 -59783
29 73 -58986.6
29 74 -56006.2
29 75 -54119.8
29 76 -50976
29 77 -48577
29 78 -44749
29 79 -42327
29 80 -36449
30 54 -6567
30 55 -14923
30 56 -25728
30 57 -32800
30 58 -42297.7
30 59 -47260.5
30 60 -54187.8
30 61 -56345.5
30 62 -61171.4
30 63 -62213
30 64 -66003.6
30 65 -65911.6
30 66 -68899.4
30 67 -67880.4
30 68 -70007.2
30 69 -68418
30 70 -69564.6
30 71 -67326.9
30 72 -68131.4
30 73 -65410.3
30 74 -65708.9
30 75 -62469
30 76 -62136.6
30 77 -58722.3
30 78 -57342.6
30 79 -53420
30 80 -51844.8
30 81 -46128
30 82 -42457
30 83 -36300
31 56 -4741
31 57 -15901
31 58 -23986
31 59 -34121
31 60 -39998
31 61 -47090.5
31 62 -52000.4
31 63 -56547.1
31 64 -58834.3
31 65 -62657.2
31 66 -63724.4
31 67 -66879.7
31 68 -67086.1
31 69 -69327.8
31 70 -68910.1
31 71 -70140.2
31 72 -68589.4
31 73 -69699.3
31 74 -68049.6
31 75 -68464.6
31 76 -66296.6
31 77 -65992.3
31 78 -63706.6
31 79 -62509.5
31 80 -59135.2
31 81 -57983.3
31 82 -53104
31 83 -49388
31 84 -44106
31 85 -40054
31 86 -34353
32 58 -8374
32 59 -17000
32 60 -27768
32 61 -33729
32 62 -42243
32 63 -46910
32 64 -54349.9
32 65 -56414.6
32 66 -61624.4
32 67 -62657.8
32 68 -66979.8
32 69 -67100.6
32 70 -70563.1
32 71 -69907.7
32 72 -72585.9
32 73 -71297.5
32 74 -73422.4
32 75 -71856.4
32 76 -73213
32 77 -71214
32 78 -71862.2
32 79 -69488.5
32 80 -69515.2
32 81 -66303.3
32 82 -65624
32 83 -60901
32 84 -58246
32 85 -53067
32 86 -49844
32 87 -44237
32 88 -40138
32 89 -33692
33 60 -6399
33 61 -18052
33 62 -24964
33 63 -33823
33 64 -39521
33 65 -46981
33 66 -51502.3
33 67 -56647.8
33 68 -58899.2
33 69 -63086.7
33 70 -64343.1
33 71 -67894.3
33 72 -68229.8
33 73 -70956.7
33 74 -70860
33 75 -73032.4
33 76 -72289.5
33 77 -73916.6
33 78 -72817.4
33 79 -73636.5
33 80 -72159.3
33 81 -72533.3
33 82 -70324
33 83 -69880.7
33 84 -66082
33 85 -63323
33 86 -59150
33 87 -55983
33 88 -51288
33 89 -47143
33 90 -41451
33 91 -36859
33 92 -30926
34 65 -32919
34 66 -41722
34 67 -46491
34 68 -54214.8
34 69 -56301.5
34 70 -62046.2
34 71 -63116.3
34 72 -67894.4
34 73 -68217.6
34 74 -72212.7
34 75 -72169
34 76 -75252.1
34 77 -74599.6
34 78 -77026.1
34 79 -75917.6
34 80 -77759.9
34 81 -76389.5
34 82 -77594
34 83 -75340.7
34 84 -75951.8
34 85 -72428.3
34 86 -70540.6
34 87 -66581.9
34 88 -63878.1
34 89 -59196
34 90 -55927
34 91 -50338
34 92 -46649
34 93 -40716
34 94 -36803
35 67 -32798
35 68 -38642
35 69 -46476
35 70 -51426
35 71 -57063.3
35 72 -59015.2
35 73 -63628.9
35 74 -65306.1
35 75 -69139
35 76 -70289.2
35 77 -73234.9
35 78 -73452.3
35 79 -76068.5
35 80 -75889.5
35 81 -77974.8
35 82 -77496.5
35 83 -79008.9
35 84 -77799.3
35 85 -78610.3
35 86 -75639.6
35 87 -73856.9
35 88 -70732.1
35 89 -68571.6
35 90 -64619.8
35 91 -61508.3
35 92 -56580.1
35 93 -53049
35 94 -47804
35 95 -43901
35 96 -38629
35 97 -34652
36 69 -32435
36 70 -41676
36 71 -46923.3
36 72 -53940.9
36 73 -56551.8
36 74 -62331.5
36 75 -64323.6
36 76 -69014.3
36 77 -70169.4
36 78 -74179.7
36 79 -74442.7
36 80 -77892.5
36 81 -77694
36 82 -80589.5
36 83 -79981.7
36 84 -82431
36 85 -81480.3
36 86 -83265.6
36 87 -80709.4
36 88 -79692.1
36 89 -76726.6
36 90 -74969.8
36 91 -71310.3
36 92 -68785
36 93 -64017.5
36 94 -61143
36 95 -56039
36 96 -53030
36 97 -47916
36 98 -44796
36 99 -39495
36 100 -36198
37 71 -32304
37 72 -38117
37 73 -46052
37 74 -51917.1
37 75 -57221.7
37 76 -60479.8
37 77 -64824.5
37 78 -66936.2
37 79 -70803.4
37 80 -72172.9
37 81 -75454.8
37 82 -76188.2
37 83 -79074.8
37 84 -79750
37 85 -82167.3
37 86 -82747
37 87 -84597.8
37 88 -82609
37 89 -81712.5
37 90 -79361.7
37 91 -77745.3
37 92 -74772
37 93 -72617.5
37 94 -68553.4
37 95 -65853.9
