# DataSet FAZIAPRE-MAY2018
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIAPRE-MAY2018/
run=237 | starting date=Thu May 24 21:33:55 2018 | nfiles=10 | size(GB)=0.93
run=238 | starting date=Thu May 24 21:35:18 2018 | nfiles=10 | size(GB)=0.93
run=239 | starting date=Thu May 24 21:36:40 2018 | nfiles=10 | size(GB)=0.93
run=240 | starting date=Thu May 24 21:37:59 2018 | nfiles=10 | size(GB)=0.93
run=241 | starting date=Thu May 24 21:39:20 2018 | nfiles=10 | size(GB)=0.93
run=242 | starting date=Thu May 24 21:40:46 2018 | nfiles=10 | size(GB)=0.93
run=243 | starting date=Thu May 24 21:42:19 2018 | nfiles=10 | size(GB)=0.93
run=244 | starting date=Thu May 24 21:44:06 2018 | nfiles=10 | size(GB)=0.93
run=245 | starting date=Thu May 24 21:45:44 2018 | nfiles=10 | size(GB)=0.93
run=246 | starting date=Thu May 24 21:47:16 2018 | nfiles=10 | size(GB)=0.93
run=247 | starting date=Thu May 24 21:48:50 2018 | nfiles=10 | size(GB)=0.93
run=248 | starting date=Thu May 24 21:50:22 2018 | nfiles=10 | size(GB)=0.93
run=249 | starting date=Thu May 24 21:51:52 2018 | nfiles=10 | size(GB)=0.93
run=250 | starting date=Thu May 24 21:53:22 2018 | nfiles=10 | size(GB)=0.93
run=251 | starting date=Thu May 24 21:54:51 2018 | nfiles=10 | size(GB)=0.93
run=252 | starting date=Thu May 24 21:56:25 2018 | nfiles=10 | size(GB)=0.93
run=253 | starting date=Thu May 24 21:58:02 2018 | nfiles=10 | size(GB)=0.93
run=254 | starting date=Thu May 24 21:59:38 2018 | nfiles=10 | size(GB)=0.93
run=255 | starting date=Thu May 24 22:01:17 2018 | nfiles=10 | size(GB)=0.93
run=256 | starting date=Thu May 24 22:03:01 2018 | nfiles=10 | size(GB)=0.93
run=257 | starting date=Thu May 24 22:04:44 2018 | nfiles=10 | size(GB)=0.93
run=258 | starting date=Thu May 24 22:06:21 2018 | nfiles=10 | size(GB)=0.93
run=259 | starting date=Thu May 24 22:08:07 2018 | nfiles=10 | size(GB)=0.93
run=260 | starting date=Thu May 24 22:09:49 2018 | nfiles=10 | size(GB)=0.93
run=261 | starting date=Thu May 24 22:11:29 2018 | nfiles=10 | size(GB)=0.93
run=262 | starting date=Thu May 24 22:13:09 2018 | nfiles=10 | size(GB)=0.93
run=263 | starting date=Thu May 24 22:14:52 2018 | nfiles=10 | size(GB)=0.93
run=264 | starting date=Thu May 24 22:16:32 2018 | nfiles=10 | size(GB)=0.93
run=265 | starting date=Thu May 24 22:18:08 2018 | nfiles=10 | size(GB)=0.93
run=266 | starting date=Thu May 24 22:19:50 2018 | nfiles=10 | size(GB)=0.93
run=267 | starting date=Thu May 24 22:21:32 2018 | nfiles=10 | size(GB)=0.93
run=268 | starting date=Thu May 24 22:23:15 2018 | nfiles=10 | size(GB)=0.93
run=269 | starting date=Thu May 24 22:24:59 2018 | nfiles=10 | size(GB)=0.93
run=270 | starting date=Thu May 24 22:26:36 2018 | nfiles=9 | size(GB)=0.83
run=271 | starting date=Thu May 24 22:30:47 2018 | nfiles=10 | size(GB)=0.93
run=272 | starting date=Thu May 24 22:31:49 2018 | nfiles=10 | size(GB)=0.93
run=273 | starting date=Thu May 24 22:32:51 2018 | nfiles=10 | size(GB)=0.93
run=274 | starting date=Thu May 24 22:33:55 2018 | nfiles=10 | size(GB)=0.93
run=275 | starting date=Thu May 24 22:34:58 2018 | nfiles=10 | size(GB)=0.93
run=276 | starting date=Thu May 24 22:35:59 2018 | nfiles=10 | size(GB)=0.93
run=277 | starting date=Thu May 24 22:37:05 2018 | nfiles=10 | size(GB)=0.93
run=278 | starting date=Thu May 24 22:38:11 2018 | nfiles=10 | size(GB)=0.93
run=279 | starting date=Thu May 24 22:39:16 2018 | nfiles=10 | size(GB)=0.93
run=280 | starting date=Thu May 24 22:40:21 2018 | nfiles=10 | size(GB)=0.93
run=281 | starting date=Thu May 24 22:41:27 2018 | nfiles=10 | size(GB)=0.93
run=282 | starting date=Thu May 24 22:42:33 2018 | nfiles=10 | size(GB)=0.93
run=283 | starting date=Thu May 24 22:43:40 2018 | nfiles=10 | size(GB)=0.93
run=284 | starting date=Thu May 24 22:44:43 2018 | nfiles=10 | size(GB)=0.93
run=285 | starting date=Thu May 24 22:45:48 2018 | nfiles=10 | size(GB)=0.93
run=286 | starting date=Thu May 24 22:46:54 2018 | nfiles=10 | size(GB)=0.93
run=287 | starting date=Thu May 24 22:48:01 2018 | nfiles=10 | size(GB)=0.93
run=288 | starting date=Thu May 24 22:49:09 2018 | nfiles=10 | size(GB)=0.93
run=289 | starting date=Thu May 24 22:50:16 2018 | nfiles=10 | size(GB)=0.93
run=290 | starting date=Thu May 24 22:51:23 2018 | nfiles=10 | size(GB)=0.93
run=291 | starting date=Thu May 24 22:52:28 2018 | nfiles=10 | size(GB)=0.93
run=292 | starting date=Thu May 24 22:53:34 2018 | nfiles=10 | size(GB)=0.93
run=293 | starting date=Thu May 24 22:54:43 2018 | nfiles=10 | size(GB)=0.93
run=294 | starting date=Thu May 24 22:55:52 2018 | nfiles=10 | size(GB)=0.93
run=295 | starting date=Thu May 24 22:57:01 2018 | nfiles=10 | size(GB)=0.93
run=296 | starting date=Thu May 24 22:58:11 2018 | nfiles=10 | size(GB)=0.93
run=297 | starting date=Thu May 24 22:59:24 2018 | nfiles=10 | size(GB)=0.93
run=298 | starting date=Thu May 24 23:00:38 2018 | nfiles=10 | size(GB)=0.93
run=299 | starting date=Thu May 24 23:01:55 2018 | nfiles=10 | size(GB)=0.93
run=300 | starting date=Thu May 24 23:03:11 2018 | nfiles=10 | size(GB)=0.93
run=301 | starting date=Thu May 24 23:04:27 2018 | nfiles=10 | size(GB)=0.93
run=302 | starting date=Thu May 24 23:05:46 2018 | nfiles=10 | size(GB)=0.93
run=303 | starting date=Thu May 24 23:07:03 2018 | nfiles=10 | size(GB)=0.93
run=304 | starting date=Thu May 24 23:08:17 2018 | nfiles=10 | size(GB)=0.93
run=305 | starting date=Thu May 24 23:09:31 2018 | nfiles=10 | size(GB)=0.93
run=306 | starting date=Thu May 24 23:10:43 2018 | nfiles=10 | size(GB)=0.93
run=307 | starting date=Thu May 24 23:11:57 2018 | nfiles=10 | size(GB)=0.93
run=308 | starting date=Thu May 24 23:13:11 2018 | nfiles=10 | size(GB)=0.93
run=309 | starting date=Thu May 24 23:14:28 2018 | nfiles=10 | size(GB)=0.93
run=310 | starting date=Thu May 24 23:15:42 2018 | nfiles=10 | size(GB)=0.93
