###########################################################
#$Id: pied_chiosi_e416a.dat,v 1.1 2006/03/20 01:13:45 franklan Exp $
#Piédestaux pour ChIo/Si, manip E416a
#Extraits du run 1000
#Chaque spectre fitté avec une gaussienne
#Format du fichier:
# nom_du_parametre moyenne erreur_sur_moyenne largeur erreur_sur_moyenne chi_square NDF
###########################################################
SI_0603_GG 4.39167 0.146371 6.83715 0.0817831 32.1222 23
#pic a zero
#SI_0603_PG -2.48026 0.776112 1.23687 0.116299 21.914 9
SI_0604_GG 15.5786 0.0375072 5.24899 0.0273424 53.9502 31
SI_0604_PG 0.260064 0.0309307 0.273329 0.0146897 25 11
SI_0605_GG 21.6641 0.0766418 7.0608 0.0911881 39 10
SI_0605_PG 0.0791552 0.0260998 0.328805 0.0103166 31 9
SI_0606_GG 24.5486 0.0434554 6.1257 0.0316795 132.766 43
SI_0606_PG 0.344134 0.0510188 0.281198 0.0134623 28 11
SI_0607_GG 27.2227 0.0426808 5.99932 0.0294974 143.876 52
SI_0607_PG 0.673534 0.103505 0.433263 0.0301966 27 8
SI_0608_GG 18.9762 0.0564497 7.6926 0.0435219 53.9674 26
SI_0608_PG 0.664214 0.0451327 0.26573 0.0726536 18 7
SI_0609_GG 5.48727 0.936429 0.430875 89.1185 23 11
SI_0609_PG 0.273016 0.0393049 0.299338 0.0112759 3 1
SI_0610_GG 33.7949 0.0410777 5.61816 0.034255 107.508 20
SI_0610_PG 0.289866 0.0393564 0.288736 0.0118897 20 12
SI_0611_GG 29.9386 0.0479108 6.75098 0.0358423 102.946 22
SI_0611_PG 0.236105 0.0291979 0.27771 0.0144594 29 11
SI_0612_GG 33.7888 0.034401 4.85917 0.0242165 114.86 28
SI_0612_PG 0.272122 0.0319473 0.271082 0.0148155 27 11
SI_0613_GG 29.9947 0.0494593 6.98413 0.0356465 87.6591 17
SI_0613_PG 0.222311 0.0283407 0.280229 0.0142868 24 8
SI_0614_GG 19.2269 0.0541364 7.52775 0.0611498 37.9774 14
#gros pic a zero
#SI_0614_PG -0.0517523 0.0568909 0.559797 0.0286175 26.9999 11
SI_0615_GG 24.569 0.0494516 6.99079 0.035539 35.7198 22
SI_0615_PG 0.217953 0.0300607 0.291376 0.012452 21 11
SI_0616_GG 27.7707 0.110085 7.83799 0.0695468 31.9999 12
SI_0616_PG 0.502388 0.587571 0.232435 0.137102 26 10
SI_0619_GG 30.1476 0.0617123 8.63147 0.0557418 420.59 28
SI_0619_PG 0.41091 0.0340496 0.173952 0.0662146 30.9999 12
SI_0620_GG 20.4184 0.0404969 5.70527 0.0285574 123.873 47
SI_0620_PG 0.658797 0.0779447 0.343443 0.164908 27 7
#très bruité, pic a zéro mais très large spectre
#SI_0621_GG -391.064 8.53044 166.488 1.69247 8411.64 103
#SI_0621_PG -8.56431 0.202995 1.66284 0.0252473 1410.41 22
SI_0622_GG 27.4929 0.0324688 4.58739 0.0234173 79.4306 39
SI_0622_PG 0.664399 0.00865498 0.116535 0.00615929 10 5
SI_0623_GG 26.1017 0.071535 8.22793 0.0371249 40.7945 17
SI_0623_PG 0.507218 0.409016 0.170168 14.6985 29 13
