# ASCII file generated by KVIDZAGrid::WriteToAsciiFile
# ID Graph Name : ID_SI1_SI2_111
# This file can be read using KVIDZAGrid::ReadFromAsciiFile
# 
++KVIDZAGrid
<NAME> ID_SI1_SI2_111
<VARX> Q2Amplitude
<VARY> QH1Amplitude
<PARAMETER> IDTelescopes=ID_SI1_SI2_111
<PARAMETER> Runlist=12-43
+KVIDZALine
ID:Z=1 A=1
13.9382   14.4854
14.8851   14.1005
15.8215   13.7377
16.7501   13.3942
17.6735   13.0681
18.5933   12.7577
19.5116   12.4612
20.4296   12.1774
21.3489   11.9054
22.2705   11.6441
23.1957   11.3927
24.1253   11.1505
25.0601   10.9168
26.0012   10.691
26.9492   10.4728
27.905   10.2614
28.8692   10.0566
29.8427   9.85806
30.8256   9.66538
+KVIDZALine
ID:Z=1 A=2
1	2
30
1.37898   29.5427
2.51729   28.6318
4.86074   26.8986
6.78722   25.5995
8.50039   24.5288
10.0807   23.6057
11.5701   22.7879
12.9941   22.0504
14.3691   21.3765
15.707   20.7545
17.0166   20.176
18.3044   19.6346
19.5758   19.1253
20.8349   18.6439
22.0852   18.1874
23.3299   17.7532
24.5714   17.3388
25.8118   16.9428
27.053   16.5631
28.297   16.1984
29.545   15.8477
30.7987   15.5099
32.0591   15.1841
33.3277   14.8694
34.6054   14.5649
35.8932   14.2702
37.1924   13.9847
38.5037   13.7079
39.8279   13.4391
41.1658   13.178
+KVIDZALine
ID:Z=1 A=3
1	3
30
0.976512   35.2135
2.62565   33.9063
5.33034   31.9309
7.5786   30.4319
9.58925   29.1886
11.4507   28.1125
13.2097   27.1564
14.8948   26.2918
16.5247   25.5004
18.113   24.7686
19.6695   24.0868
21.2017   23.4483
22.7157   22.8464
24.2165   22.2775
25.7083   21.7372
27.1941   21.2227
28.6771   20.7315
30.1599   20.2614
31.6446   19.8104
33.1334   19.3771
34.6281   18.9601
36.1301   18.5579
37.6412   18.17
39.1627   17.795
40.696   17.432
42.2419   17.0805
43.8022   16.7398
45.3778   16.4091
46.9698   16.0882
48.3971   15.7761
+KVIDZALine
ID:Z=2 A=3
2	3
30
0.804213   81.4347
8.08046   75.3225
14.4535   70.5364
19.6482   66.9728
24.2378   64.0536
28.45   61.5494
32.4037   59.3411
36.1705   57.3566
39.7976   55.5489
43.3179   53.8856
46.7557   52.3432
50.1303   50.9026
53.4553   49.5512
56.7433   48.2766
60.0033   47.0708
63.2444   45.9257
66.4725   44.8352
69.694   43.7945
72.9141   42.7987
76.1378   41.8442
79.369   40.9277
82.6112   40.0458
85.8686   39.1964
89.1433   38.3772
92.4392   37.5864
95.7586   36.8218
99.104   36.0818
102.478   35.3651
105.883   34.6703
108.899   33.9963
+KVIDZALine
ID:Z=2 A=4
2	4
30
0.508326   92.0592
8.47826   85.4644
15.6073   80.1375
21.4528   76.144
26.6328   72.8603
31.3957   70.0367
35.8721   67.542
40.1412   65.2974
44.2547   63.2505
48.2495   61.3654
52.153   59.6153
55.9862   57.9805
59.7647   56.4451
63.502   54.9968
67.2089   53.6251
70.8946   52.3221
74.5668   51.0808
78.2328   49.8955
81.8977   48.7607
85.5675   47.673
89.2458   46.6276
92.9383   45.6219
96.6476   44.653
100.378   43.7181
104.133   42.8148
107.915   41.9417
111.729   41.0966
115.574   40.2777
119.456   39.4834
123.254   38.7131
+KVIDZALine
ID:Z=2 A=6
2	6
30
0.582458   108.523
9.3141   101.517
17.5027   95.4853
24.3204   90.8836
30.4073   87.0654
36.03   83.7634
41.3312   80.834
46.3985   78.1897
51.29   75.7722
56.0475   73.5411
60.7022   71.4665
65.2766   69.5251
69.7904   67.6991
74.2585   65.9748
78.693   64.3398
83.1055   62.7855
87.5038   61.303
91.8966   59.8863
96.291   58.5291
100.692   57.2266
105.107   55.9745
109.539   54.769
113.993   53.6067
118.475   52.4845
122.987   51.4002
127.535   50.3506
132.119   49.3346
136.746   48.3496
141.416   47.3939
145.841   46.4663
+KVIDZALine
ID:Z=3 A=6
3	6
30
0.435521   173.613
15.4163   161.578
28.5852   151.825
39.5426   144.374
49.3022   138.207
58.298   132.885
66.765   128.173
74.8465   123.925
82.6388   120.048
90.2099   116.475
97.6103   113.155
104.878   110.053
112.043   107.138
119.133   104.388
126.165   101.783
133.157   99.3078
140.125   96.9496
147.079   94.6968
154.035   92.5407
160.998   90.4727
167.981   88.4864
174.989   86.5745
182.03   84.7324
189.111   82.9553
196.239   81.2386
203.42   79.5785
210.659   77.9719
217.961   76.4152
225.331   74.9056
232.363   73.4406
+KVIDZALine
ID:Z=3 A=7
3	7
30
1.52564   183.999
15.5973   172.744
29.5137   162.486
41.1574   154.597
51.5538   148.047
61.1513   142.382
70.1933   137.359
78.8307   132.829
87.1637   128.689
95.2637   124.872
103.184   121.324
110.965   118.005
118.638   114.886
126.233   111.942
133.767   109.151
141.261   106.499
148.73   103.972
156.187   101.557
163.644   99.2447
171.113   97.0266
178.601   94.8952
186.118   92.8437
193.672   90.8667
201.272   88.9587
208.921   87.1151
216.628   85.3323
224.398   83.6059
232.237   81.9336
240.151   80.3117
247.771   78.7376
+KVIDZALine
ID:Z=3 A=8
3	8
30
1.32564   194.282
15.6895   182.954
30.262   172.262
42.5207   163.988
53.4928   157.095
63.6364   151.123
73.2029   145.822
82.3472   141.034
91.1743   136.656
99.7586   132.618
108.156   128.86
116.408   125.345
124.549   122.039
132.608   118.916
140.603   115.958
148.56   113.143
156.49   110.461
164.408   107.898
172.329   105.442
180.262   103.086
188.218   100.821
196.207   98.6415
204.236   96.5399
212.312   94.5115
220.443   92.5514
228.638   90.6551
236.899   88.8192
245.234   87.0399
253.65   85.314
261.826   83.6385
+KVIDZALine
ID:Z=3 A=9
3	9
30
0.513241   204.066
16.1107   192.083
31.1758   181.103
43.9427   172.532
55.4073   165.362
66.0277   159.133
76.0564   153.595
85.6521   148.585
94.922   144.002
103.942   139.768
112.769   135.825
121.449   132.136
130.013   128.664
138.492   125.382
146.91   122.273
155.285   119.314
163.636   116.492
171.977   113.794
180.32   111.21
188.679   108.728
197.063   106.343
205.482   104.046
213.944   101.832
222.458   99.6937
231.03   97.6269
239.669   95.6274
248.381   93.6911
257.171   91.814
266.049   89.9929
274.813   88.225
+KVIDZALine
ID:Z=4 A=7
4	7
30
0.497285   257.883
22.3841   240.548
41.7488   226.246
58.006   215.185
72.5286   205.982
85.9325   198.019
98.5551   190.956
110.605   184.584
122.226   178.764
133.513   173.397
144.543   168.407
155.375   163.743
166.054   159.36
176.611   155.225
187.084   151.306
197.494   147.584
207.866   144.037
218.215   140.647
228.562   137.405
238.918   134.295
249.299   131.307
259.715   128.433
270.18   125.664
280.701   122.992
291.288   120.412
301.952   117.917
312.699   115.503
323.539   113.164
334.477   110.897
345.144   108.698
+KVIDZALine
ID:Z=4 A=9
4	9
30
0.423607   285.203
