# DataSet LNS_2016
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/TEST-JUL2016
run=220 | starting date=Tue Jul 12 21:34:59 2016 | nfiles=10 | size(GB)=0.93
run=221 | starting date=Tue Jul 12 21:37:43 2016 | nfiles=10 | size(GB)=0.93
run=222 | starting date=Tue Jul 12 21:40:18 2016 | nfiles=10 | size(GB)=0.93
run=223 | starting date=Tue Jul 12 21:42:53 2016 | nfiles=10 | size(GB)=0.93
run=224 | starting date=Tue Jul 12 21:45:28 2016 | nfiles=10 | size(GB)=0.93
run=225 | starting date=Tue Jul 12 21:48:06 2016 | nfiles=10 | size(GB)=0.93
run=226 | starting date=Tue Jul 12 21:50:47 2016 | nfiles=10 | size(GB)=0.93
run=227 | starting date=Tue Jul 12 21:53:25 2016 | nfiles=10 | size(GB)=0.93
run=228 | starting date=Tue Jul 12 21:56:09 2016 | nfiles=10 | size(GB)=0.93
run=229 | starting date=Tue Jul 12 21:58:42 2016 | nfiles=10 | size(GB)=0.93
run=230 | starting date=Tue Jul 12 22:01:13 2016 | nfiles=10 | size(GB)=0.93
run=231 | starting date=Tue Jul 12 22:03:41 2016 | nfiles=10 | size(GB)=0.93
run=232 | starting date=Tue Jul 12 22:06:17 2016 | nfiles=10 | size(GB)=0.93
run=233 | starting date=Tue Jul 12 22:08:52 2016 | nfiles=10 | size(GB)=0.93
run=234 | starting date=Tue Jul 12 22:11:39 2016 | nfiles=10 | size(GB)=0.93
run=235 | starting date=Tue Jul 12 22:14:22 2016 | nfiles=10 | size(GB)=0.93
run=236 | starting date=Tue Jul 12 22:17:04 2016 | nfiles=10 | size(GB)=0.93
run=237 | starting date=Tue Jul 12 22:19:43 2016 | nfiles=10 | size(GB)=0.93
run=238 | starting date=Tue Jul 12 22:22:23 2016 | nfiles=10 | size(GB)=0.93
run=239 | starting date=Tue Jul 12 22:24:57 2016 | nfiles=10 | size(GB)=0.93
run=240 | starting date=Tue Jul 12 22:27:34 2016 | nfiles=10 | size(GB)=0.93
run=241 | starting date=Tue Jul 12 22:30:01 2016 | nfiles=10 | size(GB)=0.93
run=242 | starting date=Tue Jul 12 22:32:29 2016 | nfiles=10 | size(GB)=0.93
run=243 | starting date=Tue Jul 12 22:35:08 2016 | nfiles=10 | size(GB)=0.93
run=244 | starting date=Tue Jul 12 22:37:41 2016 | nfiles=10 | size(GB)=0.93
run=245 | starting date=Tue Jul 12 22:40:16 2016 | nfiles=10 | size(GB)=0.93
run=246 | starting date=Tue Jul 12 22:42:54 2016 | nfiles=10 | size(GB)=0.93
run=247 | starting date=Tue Jul 12 22:45:25 2016 | nfiles=10 | size(GB)=0.93
run=248 | starting date=Tue Jul 12 22:48:05 2016 | nfiles=10 | size(GB)=0.93
run=249 | starting date=Tue Jul 12 22:50:38 2016 | nfiles=10 | size(GB)=0.93
run=250 | starting date=Tue Jul 12 22:53:20 2016 | nfiles=10 | size(GB)=0.93
run=251 | starting date=Tue Jul 12 22:55:57 2016 | nfiles=10 | size(GB)=0.93
run=252 | starting date=Tue Jul 12 22:58:38 2016 | nfiles=10 | size(GB)=0.93
