# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIASYM-Dec2015/
run=278 | starting date=Fri Dec 11 01:54:01 2015 | nfiles=20 | size(GB)=0.28
run=279 | starting date=Fri Dec 11 01:54:04 2015 | nfiles=20 | size(GB)=0.28
run=280 | starting date=Fri Dec 11 01:54:07 2015 | nfiles=20 | size(GB)=0.28
run=281 | starting date=Fri Dec 11 01:54:10 2015 | nfiles=20 | size(GB)=0.28
run=282 | starting date=Fri Dec 11 01:54:13 2015 | nfiles=20 | size(GB)=0.28
run=283 | starting date=Fri Dec 11 01:54:16 2015 | nfiles=20 | size(GB)=0.28
run=284 | starting date=Fri Dec 11 01:54:19 2015 | nfiles=20 | size(GB)=0.28
run=285 | starting date=Fri Dec 11 01:54:22 2015 | nfiles=20 | size(GB)=0.28
run=286 | starting date=Fri Dec 11 01:54:25 2015 | nfiles=20 | size(GB)=0.28
run=287 | starting date=Fri Dec 11 01:54:28 2015 | nfiles=20 | size(GB)=0.28
run=288 | starting date=Fri Dec 11 01:54:31 2015 | nfiles=20 | size(GB)=0.28
run=289 | starting date=Fri Dec 11 01:54:34 2015 | nfiles=20 | size(GB)=0.28
run=290 | starting date=Fri Dec 11 01:54:37 2015 | nfiles=20 | size(GB)=0.28
run=291 | starting date=Fri Dec 11 01:54:40 2015 | nfiles=20 | size(GB)=0.28
run=292 | starting date=Fri Dec 11 01:54:43 2015 | nfiles=20 | size(GB)=0.28
run=293 | starting date=Fri Dec 11 01:54:46 2015 | nfiles=20 | size(GB)=0.28
run=294 | starting date=Fri Dec 11 01:54:49 2015 | nfiles=20 | size(GB)=0.28
run=295 | starting date=Fri Dec 11 01:54:52 2015 | nfiles=20 | size(GB)=0.28
run=296 | starting date=Fri Dec 11 01:54:55 2015 | nfiles=20 | size(GB)=0.28
run=297 | starting date=Fri Dec 11 01:54:58 2015 | nfiles=20 | size(GB)=0.28
run=298 | starting date=Fri Dec 11 01:55:01 2015 | nfiles=20 | size(GB)=0.28
run=299 | starting date=Fri Dec 11 01:55:04 2015 | nfiles=20 | size(GB)=0.28
run=300 | starting date=Fri Dec 11 01:55:07 2015 | nfiles=20 | size(GB)=0.28
run=301 | starting date=Fri Dec 11 01:55:10 2015 | nfiles=20 | size(GB)=0.28
run=302 | starting date=Fri Dec 11 01:55:13 2015 | nfiles=20 | size(GB)=0.28
run=303 | starting date=Fri Dec 11 01:55:16 2015 | nfiles=20 | size(GB)=0.28
run=304 | starting date=Fri Dec 11 01:55:19 2015 | nfiles=20 | size(GB)=0.28
run=305 | starting date=Fri Dec 11 01:55:22 2015 | nfiles=20 | size(GB)=0.28
run=306 | starting date=Fri Dec 11 01:55:25 2015 | nfiles=20 | size(GB)=0.28
run=307 | starting date=Fri Dec 11 01:55:28 2015 | nfiles=20 | size(GB)=0.28
run=308 | starting date=Fri Dec 11 01:55:31 2015 | nfiles=20 | size(GB)=0.28
run=309 | starting date=Fri Dec 11 01:55:34 2015 | nfiles=20 | size(GB)=0.28
run=310 | starting date=Fri Dec 11 01:55:37 2015 | nfiles=20 | size(GB)=0.28
run=311 | starting date=Fri Dec 11 01:55:40 2015 | nfiles=20 | size(GB)=0.28
run=312 | starting date=Fri Dec 11 01:55:43 2015 | nfiles=20 | size(GB)=0.28
run=313 | starting date=Fri Dec 11 01:55:46 2015 | nfiles=20 | size(GB)=0.28
run=314 | starting date=Fri Dec 11 01:55:49 2015 | nfiles=20 | size(GB)=0.28
run=315 | starting date=Fri Dec 11 01:55:52 2015 | nfiles=20 | size(GB)=0.28
run=316 | starting date=Fri Dec 11 01:55:56 2015 | nfiles=20 | size(GB)=0.28
