run=185 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:20 2015 | stopping date=Fri Dec 11 01:49:23 2015 | read events=9234 | good events=9234 | store events=9234 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2197.50 | duration=4.2 | trig info=1
run=186 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:23 2015 | stopping date=Fri Dec 11 01:49:26 2015 | read events=9187 | good events=9186 | store events=9186 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2181.00 | duration=4.2 | trig info=0
run=187 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:26 2015 | stopping date=Fri Dec 11 01:49:29 2015 | read events=9127 | good events=9127 | store events=9127 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2170.50 | duration=4.2 | trig info=0
run=188 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:29 2015 | stopping date=Fri Dec 11 01:49:32 2015 | read events=9135 | good events=9135 | store events=9135 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2171.00 | duration=4.2 | trig info=0
run=189 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:32 2015 | stopping date=Fri Dec 11 01:49:35 2015 | read events=9182 | good events=9182 | store events=9182 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2183.25 | duration=4.2 | trig info=1
run=190 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:35 2015 | stopping date=Fri Dec 11 01:49:38 2015 | read events=9168 | good events=9168 | store events=9168 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2180.75 | duration=4.2 | trig info=0
run=191 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:38 2015 | stopping date=Fri Dec 11 01:49:41 2015 | read events=9441 | good events=9440 | store events=9440 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2246.50 | duration=4.2 | trig info=0
run=192 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:41 2015 | stopping date=Fri Dec 11 01:49:44 2015 | read events=9380 | good events=9380 | store events=9380 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2233.50 | duration=4.2 | trig info=1
run=193 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:44 2015 | stopping date=Fri Dec 11 01:49:47 2015 | read events=9367 | good events=9367 | store events=9367 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2226.50 | duration=4.2 | trig info=0
run=194 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:47 2015 | stopping date=Fri Dec 11 01:49:50 2015 | read events=9503 | good events=9503 | store events=9503 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2262.00 | duration=4.2 | trig info=0
run=195 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:50 2015 | stopping date=Fri Dec 11 01:49:53 2015 | read events=9154 | good events=9154 | store events=9154 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2177.50 | duration=4.2 | trig info=1
run=196 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:53 2015 | stopping date=Fri Dec 11 01:49:56 2015 | read events=9383 | good events=9382 | store events=9382 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2231.50 | duration=4.2 | trig info=0
run=197 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:56 2015 | stopping date=Fri Dec 11 01:49:59 2015 | read events=9295 | good events=9295 | store events=9295 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2205.75 | duration=4.2 | trig info=0
run=198 | aqcuisition status=Running | starting date=Fri Dec 11 01:49:59 2015 | stopping date=Fri Dec 11 01:50:02 2015 | read events=9415 | good events=9415 | store events=9415 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2238.25 | duration=4.2 | trig info=0
run=199 | aqcuisition status=Running | starting date=Fri Dec 11 01:50:02 2015 | stopping date=Fri Dec 11 01:50:05 2015 | read events=9336 | good events=9336 | store events=9336 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2221.50 | duration=4.2 | trig info=1
run=200 | aqcuisition status=Running | starting date=Fri Dec 11 01:50:05 2015 | stopping date=Fri Dec 11 01:50:08 2015 | read events=9613 | good events=9613 | store events=9613 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2285.75 | duration=4.2 | trig info=0
run=201 | aqcuisition status=Running | starting date=Fri Dec 11 01:50:08 2015 | stopping date=Fri Dec 11 01:50:11 2015 | read events=9424 | good events=9424 | store events=9424 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2242.00 | duration=4.2 | trig info=0
run=202 | aqcuisition status=Running | starting date=Fri Dec 11 01:50:11 2015 | stopping date=Fri Dec 11 01:50:14 2015 | read events=9500 | good events=9499 | store events=9499 | wrong number of blocks=1 | block errors=0 | nfiles=20 | frequency=2260.00 | duration=4.2 | trig info=1
run=203 | aqcuisition status=Running | starting date=Fri Dec 11 01:50:14 2015 | stopping date=Fri Dec 11 01:50:17 2015 | read events=9435 | good events=9435 | store events=9435 | wrong number of blocks=0 | block errors=0 | nfiles=20 | frequency=2240.25 | duration=4.2 | trig info=0
