Run=7180 | Nfiles=4 | Events=28925 | Trigger=1 | Nparse=28925 | Start Date=Thu Dec 11 06:35:06 2014 | ACQ=RUN | Comments=
Run=7181 | Nfiles=4 | Events=28956 | Trigger=1 | Nparse=28956 | Start Date=Thu Dec 11 06:37:37 2014 | ACQ=RUN | Comments=
Run=7182 | Nfiles=4 | Events=28963 | Trigger=1 | Nparse=28963 | Start Date=Thu Dec 11 06:40:07 2014 | ACQ=RUN | Comments=
Run=7183 | Nfiles=4 | Events=28935 | Trigger=1 | Nparse=28935 | Start Date=Thu Dec 11 06:42:38 2014 | ACQ=RUN | Comments=
Run=7184 | Nfiles=4 | Events=28966 | Trigger=1 | Nparse=28966 | Start Date=Thu Dec 11 06:45:09 2014 | ACQ=RUN | Comments=
Run=7185 | Nfiles=4 | Events=28935 | Trigger=1 | Nparse=28935 | Start Date=Thu Dec 11 06:47:40 2014 | ACQ=RUN | Comments=
Run=7186 | Nfiles=4 | Events=28977 | Trigger=1 | Nparse=28977 | Start Date=Thu Dec 11 06:50:12 2014 | ACQ=RUN | Comments=
Run=7187 | Nfiles=4 | Events=28954 | Trigger=1 | Nparse=28954 | Start Date=Thu Dec 11 06:52:42 2014 | ACQ=RUN | Comments=
Run=7188 | Nfiles=4 | Events=28992 | Trigger=1 | Nparse=28992 | Start Date=Thu Dec 11 06:55:12 2014 | ACQ=RUN | Comments=
Run=7189 | Nfiles=4 | Events=28967 | Trigger=1 | Nparse=28967 | Start Date=Thu Dec 11 06:57:40 2014 | ACQ=RUN | Comments=
Run=7190 | Nfiles=4 | Events=28958 | Trigger=1 | Nparse=28958 | Start Date=Thu Dec 11 07:00:07 2014 | ACQ=RUN | Comments=
Run=7191 | Nfiles=4 | Events=28933 | Trigger=1 | Nparse=28933 | Start Date=Thu Dec 11 07:02:32 2014 | ACQ=RUN | Comments=
Run=7192 | Nfiles=4 | Events=28943 | Trigger=1 | Nparse=28943 | Start Date=Thu Dec 11 07:04:56 2014 | ACQ=RUN | Comments=
Run=7193 | Nfiles=4 | Events=28980 | Trigger=1 | Nparse=28980 | Start Date=Thu Dec 11 07:07:21 2014 | ACQ=RUN | Comments=
Run=7194 | Nfiles=4 | Events=28961 | Trigger=1 | Nparse=28961 | Start Date=Thu Dec 11 07:09:49 2014 | ACQ=RUN | Comments=
Run=7195 | Nfiles=4 | Events=28979 | Trigger=1 | Nparse=28979 | Start Date=Thu Dec 11 07:12:16 2014 | ACQ=RUN | Comments=
Run=7196 | Nfiles=4 | Events=28951 | Trigger=1 | Nparse=28951 | Start Date=Thu Dec 11 07:14:41 2014 | ACQ=RUN | Comments=
Run=7197 | Nfiles=4 | Events=28948 | Trigger=1 | Nparse=28948 | Start Date=Thu Dec 11 07:17:09 2014 | ACQ=RUN | Comments=
Run=7198 | Nfiles=4 | Events=28962 | Trigger=1 | Nparse=28962 | Start Date=Thu Dec 11 07:19:39 2014 | ACQ=RUN | Comments=
Run=7199 | Nfiles=4 | Events=28961 | Trigger=1 | Nparse=28961 | Start Date=Thu Dec 11 07:22:09 2014 | ACQ=RUN | Comments=
Run=7200 | Nfiles=4 | Events=28929 | Trigger=1 | Nparse=28929 | Start Date=Thu Dec 11 07:24:37 2014 | ACQ=RUN | Comments=
Run=7201 | Nfiles=4 | Events=28971 | Trigger=1 | Nparse=28971 | Start Date=Thu Dec 11 07:27:08 2014 | ACQ=RUN | Comments=
Run=7202 | Nfiles=4 | Events=28982 | Trigger=1 | Nparse=28982 | Start Date=Thu Dec 11 07:29:39 2014 | ACQ=RUN | Comments=
Run=7203 | Nfiles=4 | Events=28958 | Trigger=1 | Nparse=28958 | Start Date=Thu Dec 11 07:32:10 2014 | ACQ=RUN | Comments=
Run=7204 | Nfiles=4 | Events=28986 | Trigger=1 | Nparse=28986 | Start Date=Thu Dec 11 07:34:43 2014 | ACQ=RUN | Comments=
Run=7205 | Nfiles=4 | Events=28981 | Trigger=1 | Nparse=28981 | Start Date=Thu Dec 11 07:37:16 2014 | ACQ=RUN | Comments=
Run=7206 | Nfiles=4 | Events=28985 | Trigger=1 | Nparse=28985 | Start Date=Thu Dec 11 07:46:45 2014 | ACQ=RUN | Comments=
Run=7207 | Nfiles=4 | Events=28940 | Trigger=1 | Nparse=28940 | Start Date=Thu Dec 11 07:49:23 2014 | ACQ=RUN | Comments=
Run=7208 | Nfiles=4 | Events=28995 | Trigger=1 | Nparse=28995 | Start Date=Thu Dec 11 07:52:00 2014 | ACQ=RUN | Comments=
Run=7209 | Nfiles=4 | Events=28972 | Trigger=1 | Nparse=28972 | Start Date=Thu Dec 11 07:54:39 2014 | ACQ=RUN | Comments=
Run=7210 | Nfiles=4 | Events=28976 | Trigger=1 | Nparse=28976 | Start Date=Thu Dec 11 07:57:20 2014 | ACQ=RUN | Comments=
Run=7211 | Nfiles=4 | Events=28965 | Trigger=1 | Nparse=28965 | Start Date=Thu Dec 11 08:08:21 2014 | ACQ=RUN | Comments=
Run=7212 | Nfiles=4 | Events=28951 | Trigger=1 | Nparse=28951 | Start Date=Thu Dec 11 08:13:43 2014 | ACQ=RUN | Comments=
Run=7213 | Nfiles=4 | Events=28935 | Trigger=1 | Nparse=28935 | Start Date=Thu Dec 11 08:16:50 2014 | ACQ=RUN | Comments=
Run=7214 | Nfiles=4 | Events=28926 | Trigger=1 | Nparse=28926 | Start Date=Thu Dec 11 08:26:39 2014 | ACQ=RUN | Comments=
Run=7215 | Nfiles=4 | Events=28938 | Trigger=1 | Nparse=28938 | Start Date=Thu Dec 11 08:29:54 2014 | ACQ=RUN | Comments=
Run=7216 | Nfiles=4 | Events=28930 | Trigger=1 | Nparse=28930 | Start Date=Thu Dec 11 08:33:02 2014 | ACQ=RUN | Comments=
Run=7217 | Nfiles=4 | Events=28932 | Trigger=1 | Nparse=28932 | Start Date=Thu Dec 11 08:36:13 2014 | ACQ=RUN | Comments=
Run=7218 | Nfiles=4 | Events=28970 | Trigger=1 | Nparse=28970 | Start Date=Thu Dec 11 08:39:25 2014 | ACQ=RUN | Comments=
Run=7219 | Nfiles=4 | Events=28942 | Trigger=1 | Nparse=28942 | Start Date=Thu Dec 11 08:42:44 2014 | ACQ=RUN | Comments=
Run=7220 | Nfiles=4 | Events=28963 | Trigger=1 | Nparse=28963 | Start Date=Thu Dec 11 08:45:51 2014 | ACQ=RUN | Comments=
Run=7221 | Nfiles=4 | Events=28936 | Trigger=1 | Nparse=28936 | Start Date=Thu Dec 11 08:49:13 2014 | ACQ=RUN | Comments=
Run=7222 | Nfiles=4 | Events=28964 | Trigger=1 | Nparse=28964 | Start Date=Thu Dec 11 08:52:31 2014 | ACQ=RUN | Comments=
Run=7223 | Nfiles=4 | Events=28942 | Trigger=1 | Nparse=28942 | Start Date=Thu Dec 11 08:56:16 2014 | ACQ=RUN | Comments=
Run=7224 | Nfiles=4 | Events=28948 | Trigger=1 | Nparse=28948 | Start Date=Thu Dec 11 08:59:42 2014 | ACQ=RUN | Comments=
Run=7225 | Nfiles=4 | Events=28940 | Trigger=1 | Nparse=28940 | Start Date=Thu Dec 11 09:03:05 2014 | ACQ=RUN | Comments=
Run=7226 | Nfiles=4 | Events=28963 | Trigger=1 | Nparse=28963 | Start Date=Thu Dec 11 09:06:26 2014 | ACQ=RUN | Comments=
Run=7227 | Nfiles=4 | Events=28900 | Trigger=1 | Nparse=28900 | Start Date=Thu Dec 11 09:16:21 2014 | ACQ=RUN | Comments=
Run=7228 | Nfiles=4 | Events=28961 | Trigger=1 | Nparse=28961 | Start Date=Thu Dec 11 09:19:34 2014 | ACQ=RUN | Comments=
Run=7229 | Nfiles=4 | Events=28960 | Trigger=1 | Nparse=28960 | Start Date=Thu Dec 11 09:22:43 2014 | ACQ=RUN | Comments=
Run=7230 | Nfiles=4 | Events=28887 | Trigger=1 | Nparse=28887 | Start Date=Thu Dec 11 09:25:49 2014 | ACQ=RUN | Comments=
Run=7231 | Nfiles=4 | Events=28954 | Trigger=1 | Nparse=28954 | Start Date=Thu Dec 11 09:29:00 2014 | ACQ=RUN | Comments=
Run=7232 | Nfiles=4 | Events=28946 | Trigger=1 | Nparse=28946 | Start Date=Thu Dec 11 09:33:35 2014 | ACQ=RUN | Comments=
Run=7233 | Nfiles=4 | Events=28934 | Trigger=1 | Nparse=28934 | Start Date=Thu Dec 11 09:36:52 2014 | ACQ=RUN | Comments=
Run=7234 | Nfiles=4 | Events=28887 | Trigger=1 | Nparse=28887 | Start Date=Thu Dec 11 09:40:04 2014 | ACQ=RUN | Comments=
Run=7235 | Nfiles=4 | Events=28952 | Trigger=1 | Nparse=28952 | Start Date=Thu Dec 11 09:43:10 2014 | ACQ=RUN | Comments=
Run=7236 | Nfiles=4 | Events=28916 | Trigger=1 | Nparse=28916 | Start Date=Thu Dec 11 09:51:50 2014 | ACQ=RUN | Comments=
Run=7237 | Nfiles=4 | Events=28927 | Trigger=1 | Nparse=28927 | Start Date=Thu Dec 11 09:54:56 2014 | ACQ=RUN | Comments=
Run=7238 | Nfiles=4 | Events=28957 | Trigger=1 | Nparse=28957 | Start Date=Thu Dec 11 09:57:53 2014 | ACQ=RUN | Comments=
Run=7239 | Nfiles=4 | Events=28959 | Trigger=1 | Nparse=28959 | Start Date=Thu Dec 11 10:00:46 2014 | ACQ=RUN | Comments=
Run=7240 | Nfiles=4 | Events=28981 | Trigger=1 | Nparse=28981 | Start Date=Thu Dec 11 10:03:32 2014 | ACQ=RUN | Comments=
Run=7241 | Nfiles=4 | Events=28960 | Trigger=1 | Nparse=28960 | Start Date=Thu Dec 11 10:06:18 2014 | ACQ=RUN | Comments=
Run=7242 | Nfiles=4 | Events=28982 | Trigger=1 | Nparse=28982 | Start Date=Thu Dec 11 10:09:09 2014 | ACQ=RUN | Comments=
Run=7243 | Nfiles=4 | Events=28935 | Trigger=1 | Nparse=28935 | Start Date=Thu Dec 11 10:12:06 2014 | ACQ=RUN | Comments=
Run=7244 | Nfiles=4 | Events=28992 | Trigger=1 | Nparse=28992 | Start Date=Thu Dec 11 10:20:42 2014 | ACQ=RUN | Comments=
Run=7245 | Nfiles=4 | Events=28941 | Trigger=1 | Nparse=28941 | Start Date=Thu Dec 11 10:27:08 2014 | ACQ=RUN | Comments=
Run=7246 | Nfiles=4 | Events=28987 | Trigger=1 | Nparse=28987 | Start Date=Thu Dec 11 10:30:17 2014 | ACQ=RUN | Comments=
Run=7247 | Nfiles=4 | Events=28969 | Trigger=1 | Nparse=28969 | Start Date=Thu Dec 11 10:33:26 2014 | ACQ=RUN | Comments=
Run=7248 | Nfiles=4 | Events=28935 | Trigger=1 | Nparse=28935 | Start Date=Thu Dec 11 10:45:48 2014 | ACQ=RUN | Comments=
Run=7249 | Nfiles=4 | Events=28939 | Trigger=1 | Nparse=28939 | Start Date=Thu Dec 11 10:49:19 2014 | ACQ=RUN | Comments=
Run=7250 | Nfiles=4 | Events=28917 | Trigger=1 | Nparse=28917 | Start Date=Thu Dec 11 10:53:00 2014 | ACQ=RUN | Comments=
Run=7251 | Nfiles=4 | Events=28936 | Trigger=1 | Nparse=28936 | Start Date=Thu Dec 11 10:56:53 2014 | ACQ=RUN | Comments=
Run=7252 | Nfiles=4 | Events=28908 | Trigger=1 | Nparse=28908 | Start Date=Thu Dec 11 11:01:35 2014 | ACQ=RUN | Comments=
Run=7253 | Nfiles=4 | Events=28907 | Trigger=1 | Nparse=28907 | Start Date=Thu Dec 11 11:05:39 2014 | ACQ=RUN | Comments=
Run=7254 | Nfiles=4 | Events=28970 | Trigger=1 | Nparse=28970 | Start Date=Thu Dec 11 11:09:48 2014 | ACQ=RUN | Comments=
Run=7255 | Nfiles=4 | Events=28943 | Trigger=1 | Nparse=28943 | Start Date=Thu Dec 11 11:14:55 2014 | ACQ=RUN | Comments=
Run=7256 | Nfiles=4 | Events=28942 | Trigger=1 | Nparse=28942 | Start Date=Thu Dec 11 11:24:27 2014 | ACQ=RUN | Comments=
Run=7257 | Nfiles=4 | Events=28960 | Trigger=1 | Nparse=28960 | Start Date=Thu Dec 11 11:27:33 2014 | ACQ=RUN | Comments=
Run=7258 | Nfiles=3 | Events=17934 | Trigger=1 | Nparse=17934 | Start Date=Thu Dec 11 11:30:31 2014 | ACQ=RUN | Comments=
Run=7300 | Nfiles=4 | Events=28148 | Trigger=1 | Nparse=28148 | Start Date=Thu Dec 11 13:26:30 2014 | ACQ=START | Comments=
Run=7301 | Nfiles=4 | Events=28120 | Trigger=1 | Nparse=28120 | Start Date=Thu Dec 11 13:29:06 2014 | ACQ=RUN | Comments=
Run=7302 | Nfiles=4 | Events=28089 | Trigger=1 | Nparse=28089 | Start Date=Thu Dec 11 13:31:35 2014 | ACQ=RUN | Comments=
Run=7303 | Nfiles=4 | Events=28100 | Trigger=1 | Nparse=28100 | Start Date=Thu Dec 11 13:34:04 2014 | ACQ=RUN | Comments=
Run=7304 | Nfiles=4 | Events=28167 | Trigger=1 | Nparse=28167 | Start Date=Thu Dec 11 13:36:33 2014 | ACQ=RUN | Comments=
Run=7305 | Nfiles=4 | Events=28137 | Trigger=1 | Nparse=28137 | Start Date=Thu Dec 11 13:39:00 2014 | ACQ=RUN | Comments=
Run=7306 | Nfiles=4 | Events=28090 | Trigger=1 | Nparse=28090 | Start Date=Thu Dec 11 13:41:27 2014 | ACQ=RUN | Comments=
Run=7307 | Nfiles=4 | Events=28159 | Trigger=1 | Nparse=28159 | Start Date=Thu Dec 11 13:43:52 2014 | ACQ=RUN | Comments=
Run=7308 | Nfiles=4 | Events=28130 | Trigger=1 | Nparse=28130 | Start Date=Thu Dec 11 13:46:17 2014 | ACQ=RUN | Comments=
Run=7309 | Nfiles=4 | Events=28093 | Trigger=1 | Nparse=28093 | Start Date=Thu Dec 11 13:48:42 2014 | ACQ=RUN | Comments=
Run=7310 | Nfiles=4 | Events=28142 | Trigger=1 | Nparse=28142 | Start Date=Thu Dec 11 13:51:14 2014 | ACQ=RUN | Comments=
Run=7311 | Nfiles=4 | Events=28147 | Trigger=1 | Nparse=28147 | Start Date=Thu Dec 11 13:53:45 2014 | ACQ=RUN | Comments=
Run=7312 | Nfiles=4 | Events=28003 | Trigger=1 | Nparse=28003 | Start Date=Thu Dec 11 13:56:10 2014 | ACQ=RUN | Comments=
Run=7313 | Nfiles=4 | Events=28130 | Trigger=1 | Nparse=28130 | Start Date=Thu Dec 11 14:03:37 2014 | ACQ=RUN | Comments=
Run=7314 | Nfiles=4 | Events=28124 | Trigger=1 | Nparse=28124 | Start Date=Thu Dec 11 14:05:58 2014 | ACQ=RUN | Comments=
Run=7315 | Nfiles=4 | Events=28131 | Trigger=1 | Nparse=28131 | Start Date=Thu Dec 11 14:08:18 2014 | ACQ=RUN | Comments=
Run=7316 | Nfiles=4 | Events=28124 | Trigger=1 | Nparse=28124 | Start Date=Thu Dec 11 14:10:36 2014 | ACQ=RUN | Comments=
Run=7317 | Nfiles=4 | Events=28155 | Trigger=1 | Nparse=28155 | Start Date=Thu Dec 11 14:12:57 2014 | ACQ=RUN | Comments=
Run=7318 | Nfiles=4 | Events=28138 | Trigger=1 | Nparse=28138 | Start Date=Thu Dec 11 14:15:20 2014 | ACQ=RUN | Comments=
Run=7319 | Nfiles=4 | Events=28187 | Trigger=1 | Nparse=28187 | Start Date=Thu Dec 11 14:17:45 2014 | ACQ=RUN | Comments=
Run=7320 | Nfiles=4 | Events=28050 | Trigger=1 | Nparse=28050 | Start Date=Thu Dec 11 14:20:11 2014 | ACQ=RUN | Comments=
Run=7321 | Nfiles=4 | Events=28128 | Trigger=1 | Nparse=28128 | Start Date=Thu Dec 11 14:22:31 2014 | ACQ=RUN | Comments=
Run=7322 | Nfiles=4 | Events=28098 | Trigger=1 | Nparse=28098 | Start Date=Thu Dec 11 14:24:54 2014 | ACQ=RUN | Comments=
Run=7323 | Nfiles=4 | Events=28076 | Trigger=1 | Nparse=28076 | Start Date=Thu Dec 11 14:27:17 2014 | ACQ=RUN | Comments=
Run=7324 | Nfiles=4 | Events=28064 | Trigger=1 | Nparse=28064 | Start Date=Thu Dec 11 14:29:41 2014 | ACQ=RUN | Comments=
