# DataSet FAZIAPRE
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIAPRE-FEB2018/
run=112 | starting date=Tue Feb  6 04:58:48 2018 | nfiles=10 | size(GB)=0.93
run=113 | starting date=Tue Feb  6 05:04:12 2018 | nfiles=10 | size(GB)=0.93
run=114 | starting date=Tue Feb  6 05:10:19 2018 | nfiles=10 | size(GB)=0.93
run=115 | starting date=Tue Feb  6 05:16:53 2018 | nfiles=7 | size(GB)=0.57
run=116 | starting date=Tue Feb  6 05:23:52 2018 | nfiles=10 | size(GB)=0.93
run=117 | starting date=Tue Feb  6 05:28:59 2018 | nfiles=4 | size(GB)=0.32
run=118 | starting date=Tue Feb  6 05:31:23 2018 | nfiles=10 | size(GB)=0.93
run=119 | starting date=Tue Feb  6 05:35:38 2018 | nfiles=10 | size(GB)=0.93
run=120 | starting date=Tue Feb  6 05:39:51 2018 | nfiles=10 | size(GB)=0.93
run=121 | starting date=Tue Feb  6 05:44:06 2018 | nfiles=10 | size(GB)=0.93
run=122 | starting date=Tue Feb  6 05:48:19 2018 | nfiles=10 | size(GB)=0.93
run=123 | starting date=Tue Feb  6 05:52:33 2018 | nfiles=10 | size(GB)=0.93
run=124 | starting date=Tue Feb  6 05:56:52 2018 | nfiles=10 | size(GB)=0.93
run=125 | starting date=Tue Feb  6 06:01:15 2018 | nfiles=10 | size(GB)=0.93
run=126 | starting date=Tue Feb  6 06:05:35 2018 | nfiles=10 | size(GB)=0.93
run=127 | starting date=Tue Feb  6 06:09:53 2018 | nfiles=10 | size(GB)=0.93
run=128 | starting date=Tue Feb  6 06:14:07 2018 | nfiles=10 | size(GB)=0.93
run=129 | starting date=Tue Feb  6 06:19:07 2018 | nfiles=10 | size(GB)=0.93
run=130 | starting date=Tue Feb  6 06:24:27 2018 | nfiles=10 | size(GB)=0.93
run=131 | starting date=Tue Feb  6 06:29:42 2018 | nfiles=10 | size(GB)=0.93
run=132 | starting date=Tue Feb  6 06:34:08 2018 | nfiles=10 | size(GB)=0.93
run=133 | starting date=Tue Feb  6 06:38:35 2018 | nfiles=10 | size(GB)=0.93
run=134 | starting date=Tue Feb  6 06:42:46 2018 | nfiles=10 | size(GB)=0.93
run=135 | starting date=Tue Feb  6 06:47:12 2018 | nfiles=10 | size(GB)=0.93
run=136 | starting date=Tue Feb  6 06:51:37 2018 | nfiles=10 | size(GB)=0.93
run=137 | starting date=Tue Feb  6 06:56:09 2018 | nfiles=10 | size(GB)=0.93
run=138 | starting date=Tue Feb  6 07:00:34 2018 | nfiles=10 | size(GB)=0.93
run=139 | starting date=Tue Feb  6 07:05:01 2018 | nfiles=10 | size(GB)=0.93
run=140 | starting date=Tue Feb  6 07:09:28 2018 | nfiles=10 | size(GB)=0.93
run=141 | starting date=Tue Feb  6 07:13:57 2018 | nfiles=10 | size(GB)=0.93
run=142 | starting date=Tue Feb  6 07:18:28 2018 | nfiles=10 | size(GB)=0.93
run=143 | starting date=Tue Feb  6 07:23:03 2018 | nfiles=10 | size(GB)=0.93
run=144 | starting date=Tue Feb  6 07:27:32 2018 | nfiles=10 | size(GB)=0.93
run=145 | starting date=Tue Feb  6 07:32:04 2018 | nfiles=10 | size(GB)=0.93
run=146 | starting date=Tue Feb  6 07:36:14 2018 | nfiles=10 | size(GB)=0.93
run=147 | starting date=Tue Feb  6 07:40:57 2018 | nfiles=10 | size(GB)=0.93
run=148 | starting date=Tue Feb  6 07:45:32 2018 | nfiles=10 | size(GB)=0.93
run=149 | starting date=Tue Feb  6 07:50:14 2018 | nfiles=10 | size(GB)=0.93
run=150 | starting date=Tue Feb  6 07:54:54 2018 | nfiles=10 | size(GB)=0.93
run=151 | starting date=Tue Feb  6 07:59:33 2018 | nfiles=10 | size(GB)=0.93
run=152 | starting date=Tue Feb  6 08:04:14 2018 | nfiles=10 | size(GB)=0.93
run=153 | starting date=Tue Feb  6 08:08:53 2018 | nfiles=10 | size(GB)=0.93
run=154 | starting date=Tue Feb  6 08:13:33 2018 | nfiles=10 | size(GB)=0.93
run=155 | starting date=Tue Feb  6 08:18:13 2018 | nfiles=10 | size(GB)=0.93
run=156 | starting date=Tue Feb  6 08:22:57 2018 | nfiles=10 | size(GB)=0.93
run=157 | starting date=Tue Feb  6 08:27:33 2018 | nfiles=10 | size(GB)=0.93
run=158 | starting date=Tue Feb  6 08:32:59 2018 | nfiles=10 | size(GB)=0.93
run=159 | starting date=Tue Feb  6 08:38:36 2018 | nfiles=10 | size(GB)=0.93
run=160 | starting date=Tue Feb  6 08:44:20 2018 | nfiles=10 | size(GB)=0.93
run=161 | starting date=Tue Feb  6 08:50:01 2018 | nfiles=10 | size(GB)=0.93
run=162 | starting date=Tue Feb  6 08:55:55 2018 | nfiles=10 | size(GB)=0.93
run=163 | starting date=Tue Feb  6 09:01:39 2018 | nfiles=10 | size(GB)=0.93
run=164 | starting date=Tue Feb  6 09:07:15 2018 | nfiles=10 | size(GB)=0.93
run=165 | starting date=Tue Feb  6 09:13:03 2018 | nfiles=10 | size(GB)=0.93
run=166 | starting date=Tue Feb  6 09:18:16 2018 | nfiles=10 | size(GB)=0.93
run=167 | starting date=Tue Feb  6 09:23:34 2018 | nfiles=10 | size(GB)=0.93
run=168 | starting date=Tue Feb  6 09:29:15 2018 | nfiles=10 | size(GB)=0.93
run=169 | starting date=Tue Feb  6 09:35:00 2018 | nfiles=10 | size(GB)=0.93
run=170 | starting date=Tue Feb  6 09:41:01 2018 | nfiles=10 | size(GB)=0.93
run=171 | starting date=Tue Feb  6 09:47:18 2018 | nfiles=10 | size(GB)=0.93
run=172 | starting date=Tue Feb  6 09:53:38 2018 | nfiles=10 | size(GB)=0.93
run=173 | starting date=Tue Feb  6 09:59:14 2018 | nfiles=10 | size(GB)=0.93
run=174 | starting date=Tue Feb  6 10:04:42 2018 | nfiles=10 | size(GB)=0.93
run=175 | starting date=Tue Feb  6 10:10:11 2018 | nfiles=10 | size(GB)=0.93
run=176 | starting date=Tue Feb  6 10:14:38 2018 | nfiles=10 | size(GB)=0.93
run=177 | starting date=Tue Feb  6 10:18:08 2018 | nfiles=10 | size(GB)=0.93
run=178 | starting date=Tue Feb  6 10:21:48 2018 | nfiles=10 | size(GB)=0.93
run=179 | starting date=Tue Feb  6 10:25:19 2018 | nfiles=10 | size(GB)=0.93
run=180 | starting date=Tue Feb  6 10:29:04 2018 | nfiles=10 | size(GB)=0.93
run=181 | starting date=Tue Feb  6 10:32:48 2018 | nfiles=10 | size(GB)=0.93
run=182 | starting date=Tue Feb  6 10:36:28 2018 | nfiles=10 | size(GB)=0.93
run=183 | starting date=Tue Feb  6 10:40:14 2018 | nfiles=10 | size(GB)=0.93
run=184 | starting date=Tue Feb  6 10:44:07 2018 | nfiles=10 | size(GB)=0.93
run=185 | starting date=Tue Feb  6 10:47:56 2018 | nfiles=10 | size(GB)=0.93
run=186 | starting date=Tue Feb  6 10:51:45 2018 | nfiles=10 | size(GB)=0.93
run=187 | starting date=Tue Feb  6 10:55:35 2018 | nfiles=10 | size(GB)=0.93
run=188 | starting date=Tue Feb  6 10:59:22 2018 | nfiles=10 | size(GB)=0.93
run=189 | starting date=Tue Feb  6 11:03:12 2018 | nfiles=10 | size(GB)=0.93
run=190 | starting date=Tue Feb  6 11:06:54 2018 | nfiles=10 | size(GB)=0.93
run=191 | starting date=Tue Feb  6 11:10:40 2018 | nfiles=10 | size(GB)=0.93
run=192 | starting date=Tue Feb  6 11:14:34 2018 | nfiles=10 | size(GB)=0.93
run=193 | starting date=Tue Feb  6 11:18:27 2018 | nfiles=10 | size(GB)=0.93
run=194 | starting date=Tue Feb  6 11:22:32 2018 | nfiles=10 | size(GB)=0.93
run=195 | starting date=Tue Feb  6 11:26:31 2018 | nfiles=10 | size(GB)=0.93
run=196 | starting date=Tue Feb  6 11:30:36 2018 | nfiles=10 | size(GB)=0.93
run=197 | starting date=Tue Feb  6 11:34:34 2018 | nfiles=10 | size(GB)=0.93
run=198 | starting date=Tue Feb  6 11:38:41 2018 | nfiles=10 | size(GB)=0.93
run=199 | starting date=Tue Feb  6 11:42:44 2018 | nfiles=10 | size(GB)=0.93
run=200 | starting date=Tue Feb  6 11:46:41 2018 | nfiles=10 | size(GB)=0.93
run=201 | starting date=Tue Feb  6 11:50:43 2018 | nfiles=10 | size(GB)=0.93
run=202 | starting date=Tue Feb  6 11:53:41 2018 | nfiles=10 | size(GB)=0.93
run=203 | starting date=Tue Feb  6 11:57:53 2018 | nfiles=10 | size(GB)=0.93
run=204 | starting date=Tue Feb  6 12:02:24 2018 | nfiles=10 | size(GB)=0.93
run=205 | starting date=Tue Feb  6 12:06:53 2018 | nfiles=10 | size(GB)=0.93
run=206 | starting date=Tue Feb  6 12:11:22 2018 | nfiles=10 | size(GB)=0.93
run=207 | starting date=Tue Feb  6 12:15:37 2018 | nfiles=10 | size(GB)=0.93
run=208 | starting date=Tue Feb  6 12:19:41 2018 | nfiles=10 | size(GB)=0.93
run=209 | starting date=Tue Feb  6 12:23:47 2018 | nfiles=10 | size(GB)=0.93
run=210 | starting date=Tue Feb  6 12:27:56 2018 | nfiles=10 | size(GB)=0.93
run=211 | starting date=Tue Feb  6 12:32:09 2018 | nfiles=10 | size(GB)=0.93
run=212 | starting date=Tue Feb  6 12:36:28 2018 | nfiles=10 | size(GB)=0.93
run=213 | starting date=Tue Feb  6 12:40:53 2018 | nfiles=10 | size(GB)=0.93
run=214 | starting date=Tue Feb  6 12:45:25 2018 | nfiles=10 | size(GB)=0.93
run=215 | starting date=Tue Feb  6 12:50:06 2018 | nfiles=10 | size(GB)=0.93
run=216 | starting date=Tue Feb  6 12:54:51 2018 | nfiles=10 | size(GB)=0.93
run=217 | starting date=Tue Feb  6 12:59:41 2018 | nfiles=10 | size(GB)=0.93
run=218 | starting date=Tue Feb  6 13:04:35 2018 | nfiles=10 | size(GB)=0.93
run=219 | starting date=Tue Feb  6 13:09:35 2018 | nfiles=10 | size(GB)=0.93
run=220 | starting date=Tue Feb  6 13:14:44 2018 | nfiles=9 | size(GB)=0.76
run=221 | starting date=Tue Feb  6 13:18:55 2018 | nfiles=3 | size(GB)=0.25
run=222 | starting date=Tue Feb  6 13:27:38 2018 | nfiles=10 | size(GB)=0.93
run=223 | starting date=Tue Feb  6 13:32:04 2018 | nfiles=10 | size(GB)=0.93
run=224 | starting date=Tue Feb  6 13:36:39 2018 | nfiles=10 | size(GB)=0.93
run=225 | starting date=Tue Feb  6 13:41:26 2018 | nfiles=10 | size(GB)=0.93
run=226 | starting date=Tue Feb  6 13:46:20 2018 | nfiles=10 | size(GB)=0.93
run=227 | starting date=Tue Feb  6 13:51:09 2018 | nfiles=10 | size(GB)=0.93
run=228 | starting date=Tue Feb  6 13:56:04 2018 | nfiles=10 | size(GB)=0.93
run=229 | starting date=Tue Feb  6 14:01:29 2018 | nfiles=10 | size(GB)=0.93
run=230 | starting date=Tue Feb  6 14:07:15 2018 | nfiles=10 | size(GB)=0.93
run=231 | starting date=Tue Feb  6 14:13:37 2018 | nfiles=10 | size(GB)=0.93
run=232 | starting date=Tue Feb  6 14:20:14 2018 | nfiles=10 | size(GB)=0.93
run=233 | starting date=Tue Feb  6 14:26:44 2018 | nfiles=10 | size(GB)=0.93
