// PACE2_2009.DATA
//Mass Excess in MeV
//This is the same as pace2_2001.data except the format is much simpler to read :)
//------
//Each line is:
//z a massexcess
//------
//
54 128 -89.861
54 129 -88.6971
54 130 -89.8809
54 131 -88.4231
54 132 -89.2875
54 133 -87.6666
54 134 -88.1247
54 135 -86.5113
54 136 -86.4311
54 137 -82.3852
54 138 -80.1623
54 139 -75.6964
54 140 -73.0166
54 141 -68.3625
54 142 -65.5328
55 114 -54.6055
55 115 -59.5501
55 116 -61.9125
55 117 -66.2347
55 118 -68.2682
55 119 -72.1865
55 120 -73.8061
55 121 -77.0584
55 122 -77.9628
55 123 -81.1367
55 124 -81.6894
55 125 -84.1025
55 126 -84.3278
55 127 -86.2097
55 128 -85.9337
55 129 -87.5251
55 130 -86.8627
55 131 -88.0699
55 132 -87.1866
55 133 -88.0939
55 134 -86.9143
55 135 -87.67
55 136 -86.3618
55 137 -86.5644
55 138 -82.9023
55 139 -80.7164
55 140 -77.0766
55 141 -74.5125
55 142 -70.5728
55 143 -67.79
55 144 -63.416
55 145 -60.231
55 146 -55.892
55 147 -52.6308
56 117 -56.9072
56 118 -61.9454
56 119 -63.9564
56 120 -68.5061
56 121 -70.1395
56 122 -74.1628
56 123 -75.4568
56 124 -78.7894
56 125 -79.5225
56 126 -82.5578
56 127 -82.7597
56 128 -85.4807
56 129 -85.0965
56 130 -87.3018
56 131 -86.7081
56 132 -88.4554
56 133 -87.5734
56 134 -88.9728
56 135 -87.8746
56 136 -88.9103
56 137 -87.7377
56 138 -88.2777
56 139 -84.9297
56 140 -83.2943
56 141 -79.7687
56 142 -77.895
56 143 -74.0691
56 144 -71.9178
56 145 -68.0316
56 146 -65.2889
56 147 -61.312
56 148 -59.0068
57 127 -77.9597
57 128 -78.5807
57 129 -81.3765
57 130 -81.6018
57 131 -83.7481
57 132 -83.7454
57 133 -85.5734
57 134 -85.2728
57 135 -86.6746
57 136 -86.0403
57 137 -87.1288
57 138 -86.5317
57 139 -87.2383
57 140 -84.3283
57 141 -82.9995
57 142 -80.0249
57 143 -78.3181
57 144 -74.8795
57 145 -72.9713
57 146 -69.5402
57 147 -67.412
57 148 -63.9068
57 149 -62.3872
58 130 -79.3018
58 131 -79.8481
58 132 -82.4454
58 133 -82.5734
58 134 -84.8728
58 135 -84.6586
58 136 -86.4967
58 137 -85.9068
58 138 -87.5754
58 139 -86.9733
58 140 -88.0891
58 141 -85.4462
58 142 -84.5417
58 143 -81.6153
58 144 -80.4411
58 145 -77.0915
58 146 -75.7721
58 147 -72.162
58 148 -70.4068
58 149 -67.4872
58 150 -65.6128
59 132 -75.2454
59 133 -77.9734
59 134 -78.7728
59 135 -81.0986
59 136 -81.4017
59 137 -83.2048
59 138 -83.1384
59 139 -84.8443
59 140 -84.7011
59 141 -86.0275
59 142 -83.7997
59 143 -83.0769
59 144 -80.7596
59 145 -79.6351
59 146 -76.7863
59 147 -75.472
59 148 -72.4568
59 149 -70.9872
59 150 -68.6928
59 151 -67.256
59 152 -64.7569
60 134 -76.0028
60 135 -76.2986
60 136 -79.1907
60 137 -79.4008
60 138 -82.0384
60 139 -82.0443
60 140 -84.482
60 141 -84.2133
60 142 -85.9601
60 143 -84.0113
60 144 -83.7565
60 145 -81.4407
60 146 -80.9341
60 147 -78.155
60 148 -77.4168
60 149 -74.3843
60 150 -73.6928
60 151 -70.956
60 152 -70.1569
60 153 -67.3683
60 154 -65.965
61 136 -71.3017
61 137 -74.3008
61 138 -75.0384
61 139 -77.5943
61 140 -78.442
61 141 -80.4953
61 142 -81.0678
61 143 -82.9681
61 144 -81.4233
61 145 -81.2794
61 146 -79.4523
61 147 -79.0504
61 148 -76.8728
61 149 -76.0726
61 150 -73.6059
61 151 -73.399
61 152 -71.2723
61 153 -70.6683
61 154 -68.465
61 155 -67.1072
61 156 -64.4789
62 138 -71.5384
62 139 -71.9643
62 140 -75.442
62 141 -75.941
62 142 -78.9849
62 143 -79.5251
62 144 -81.973
62 145 -80.6587
62 146 -80.9943
62 147 -79.2751
62 148 -79.3453
62 149 -77.1457
62 150 -77.0599
62 151 -74.5859
62 152 -74.7723
62 153 -72.5686
62 154 -72.465
62 155 -70.2072
62 156 -69.3789
62 157 -66.8731
62 158 -65.4008
63 140 -67.042
63 141 -69.911
63 142 -71.4849
63 143 -74.4251
63 144 -75.6453
63 145 -77.9387
63 146 -77.1223
63 147 -77.5524
63 148 -76.2217
63 149 -76.4513
63 150 -74.7656
63 151 -74.6624
63 152 -72.8966
63 153 -73.3784
63 154 -71.7492
63 155 -71.8295
63 156 -70.0932
63 157 -69.4731
63 158 -67.2508
63 159 -66.0633
63 160 -63.5523
64 142 -67.2849
64 143 -68.5251
64 144 -71.9453
64 145 -72.8687
64 146 -76.1028
64 147 -75.4693
64 148 -76.2768
64 149 -75.1303
64 150 -75.7748
64 151 -74.1848
64 152 -74.7182
64 153 -72.8938
64 154 -73.7169
64 155 -72.0809
64 156 -72.5462
64 157 -70.8348
64 158 -70.7008
64 159 -68.5728
64 160 -67.9523
64 161 -65.5164
64 162 -64.2604
65 144 -62.9453
65 145 -66.2387
65 146 -67.8223
65 147 -70.8524
65 148 -70.6468
65 149 -71.4362
65 150 -71.1174
65 151 -71.6251
65 152 -70.8682
65 153 -71.315
65 154 -70.1549
65 155 -71.2611
65 156 -70.1079
65 157 -70.7773
65 158 -69.4848
