# DataSet FAZIACOR
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/STORE/FAZIACOR-MAR17/
run=253 | starting date=Tue Mar 14 20:40:43 2017 | nfiles=10 | size(GB)=0.93
run=254 | starting date=Tue Mar 14 20:41:12 2017 | nfiles=10 | size(GB)=0.93
run=255 | starting date=Tue Mar 14 20:41:40 2017 | nfiles=10 | size(GB)=0.93
run=256 | starting date=Tue Mar 14 20:42:08 2017 | nfiles=10 | size(GB)=0.93
run=257 | starting date=Tue Mar 14 20:42:36 2017 | nfiles=10 | size(GB)=0.93
run=258 | starting date=Tue Mar 14 20:43:05 2017 | nfiles=10 | size(GB)=0.93
run=259 | starting date=Tue Mar 14 20:43:33 2017 | nfiles=10 | size(GB)=0.93
run=260 | starting date=Tue Mar 14 20:44:02 2017 | nfiles=10 | size(GB)=0.93
run=261 | starting date=Tue Mar 14 20:44:35 2017 | nfiles=10 | size(GB)=0.93
run=262 | starting date=Tue Mar 14 20:45:08 2017 | nfiles=10 | size(GB)=0.93
run=263 | starting date=Tue Mar 14 20:45:39 2017 | nfiles=10 | size(GB)=0.93
run=264 | starting date=Tue Mar 14 20:46:11 2017 | nfiles=10 | size(GB)=0.93
run=265 | starting date=Tue Mar 14 20:46:41 2017 | nfiles=10 | size(GB)=0.93
run=266 | starting date=Tue Mar 14 20:47:11 2017 | nfiles=10 | size(GB)=0.93
run=267 | starting date=Tue Mar 14 20:47:53 2017 | nfiles=10 | size(GB)=0.93
run=268 | starting date=Tue Mar 14 20:48:24 2017 | nfiles=10 | size(GB)=0.93
run=269 | starting date=Tue Mar 14 20:48:57 2017 | nfiles=10 | size(GB)=0.93
run=270 | starting date=Tue Mar 14 20:49:29 2017 | nfiles=10 | size(GB)=0.93
run=271 | starting date=Tue Mar 14 20:49:59 2017 | nfiles=10 | size(GB)=0.93
run=272 | starting date=Tue Mar 14 20:50:28 2017 | nfiles=10 | size(GB)=0.93
run=273 | starting date=Tue Mar 14 20:50:58 2017 | nfiles=10 | size(GB)=0.93
run=274 | starting date=Tue Mar 14 20:51:27 2017 | nfiles=10 | size(GB)=0.93
run=275 | starting date=Tue Mar 14 20:51:57 2017 | nfiles=10 | size(GB)=0.93
run=276 | starting date=Tue Mar 14 20:52:26 2017 | nfiles=10 | size(GB)=0.93
run=277 | starting date=Tue Mar 14 20:52:57 2017 | nfiles=10 | size(GB)=0.93
run=278 | starting date=Tue Mar 14 20:53:28 2017 | nfiles=10 | size(GB)=0.93
run=279 | starting date=Tue Mar 14 20:53:58 2017 | nfiles=10 | size(GB)=0.93
run=280 | starting date=Tue Mar 14 20:54:29 2017 | nfiles=10 | size(GB)=0.93
run=281 | starting date=Tue Mar 14 20:54:58 2017 | nfiles=10 | size(GB)=0.93
run=282 | starting date=Tue Mar 14 20:55:28 2017 | nfiles=10 | size(GB)=0.93
run=283 | starting date=Tue Mar 14 20:55:58 2017 | nfiles=10 | size(GB)=0.93
run=284 | starting date=Tue Mar 14 20:56:28 2017 | nfiles=2 | size(GB)=0.16
run=285 | starting date=Tue Mar 14 21:20:47 2017 | nfiles=10 | size(GB)=0.93
run=286 | starting date=Tue Mar 14 21:28:17 2017 | nfiles=10 | size(GB)=0.93
run=287 | starting date=Tue Mar 14 21:29:45 2017 | nfiles=10 | size(GB)=0.93
run=288 | starting date=Tue Mar 14 21:31:15 2017 | nfiles=10 | size(GB)=0.93
run=289 | starting date=Tue Mar 14 21:32:46 2017 | nfiles=10 | size(GB)=0.93
run=290 | starting date=Tue Mar 14 21:34:25 2017 | nfiles=10 | size(GB)=0.93
run=291 | starting date=Tue Mar 14 21:35:57 2017 | nfiles=10 | size(GB)=0.93
run=292 | starting date=Tue Mar 14 21:37:32 2017 | nfiles=10 | size(GB)=0.93
run=293 | starting date=Tue Mar 14 21:39:07 2017 | nfiles=10 | size(GB)=0.93
run=294 | starting date=Tue Mar 14 21:40:49 2017 | nfiles=10 | size(GB)=0.93
run=295 | starting date=Tue Mar 14 21:42:35 2017 | nfiles=10 | size(GB)=0.93
run=296 | starting date=Tue Mar 14 21:44:30 2017 | nfiles=10 | size(GB)=0.93
run=297 | starting date=Tue Mar 14 21:46:12 2017 | nfiles=10 | size(GB)=0.93
run=298 | starting date=Tue Mar 14 21:47:49 2017 | nfiles=10 | size(GB)=0.93
run=299 | starting date=Tue Mar 14 21:49:28 2017 | nfiles=10 | size(GB)=0.93
run=300 | starting date=Tue Mar 14 21:51:05 2017 | nfiles=10 | size(GB)=0.93
run=301 | starting date=Tue Mar 14 21:52:44 2017 | nfiles=10 | size(GB)=0.93
run=302 | starting date=Tue Mar 14 21:54:25 2017 | nfiles=10 | size(GB)=0.93
run=303 | starting date=Tue Mar 14 21:56:09 2017 | nfiles=10 | size(GB)=0.93
run=304 | starting date=Tue Mar 14 21:57:51 2017 | nfiles=10 | size(GB)=0.93
run=305 | starting date=Tue Mar 14 21:59:33 2017 | nfiles=10 | size(GB)=0.93
run=306 | starting date=Tue Mar 14 22:01:20 2017 | nfiles=10 | size(GB)=0.93
run=307 | starting date=Tue Mar 14 22:03:02 2017 | nfiles=10 | size(GB)=0.93
run=308 | starting date=Tue Mar 14 22:04:45 2017 | nfiles=10 | size(GB)=0.93
run=309 | starting date=Tue Mar 14 22:06:30 2017 | nfiles=10 | size(GB)=0.93
run=310 | starting date=Tue Mar 14 22:08:14 2017 | nfiles=10 | size(GB)=0.93
run=311 | starting date=Tue Mar 14 22:09:59 2017 | nfiles=10 | size(GB)=0.93
run=312 | starting date=Tue Mar 14 22:11:49 2017 | nfiles=10 | size(GB)=0.93
run=313 | starting date=Tue Mar 14 22:13:42 2017 | nfiles=10 | size(GB)=0.93
run=314 | starting date=Tue Mar 14 22:15:40 2017 | nfiles=10 | size(GB)=0.93
run=315 | starting date=Tue Mar 14 22:17:32 2017 | nfiles=10 | size(GB)=0.93
run=316 | starting date=Tue Mar 14 22:19:17 2017 | nfiles=10 | size(GB)=0.93
run=317 | starting date=Tue Mar 14 22:21:15 2017 | nfiles=10 | size(GB)=0.93
run=318 | starting date=Tue Mar 14 22:23:15 2017 | nfiles=10 | size(GB)=0.93
run=319 | starting date=Tue Mar 14 22:25:13 2017 | nfiles=10 | size(GB)=0.93
run=320 | starting date=Tue Mar 14 22:27:05 2017 | nfiles=10 | size(GB)=0.93
run=321 | starting date=Tue Mar 14 22:28:56 2017 | nfiles=10 | size(GB)=0.93
run=322 | starting date=Tue Mar 14 22:30:41 2017 | nfiles=10 | size(GB)=0.93
run=323 | starting date=Tue Mar 14 22:32:20 2017 | nfiles=10 | size(GB)=0.93
run=324 | starting date=Tue Mar 14 22:34:02 2017 | nfiles=10 | size(GB)=0.93
run=325 | starting date=Tue Mar 14 22:35:44 2017 | nfiles=10 | size(GB)=0.93
run=326 | starting date=Tue Mar 14 22:37:27 2017 | nfiles=10 | size(GB)=0.93
run=327 | starting date=Tue Mar 14 22:39:05 2017 | nfiles=10 | size(GB)=0.93
run=328 | starting date=Tue Mar 14 22:40:43 2017 | nfiles=10 | size(GB)=0.93
run=329 | starting date=Tue Mar 14 22:42:18 2017 | nfiles=10 | size(GB)=0.93
run=330 | starting date=Tue Mar 14 22:44:01 2017 | nfiles=10 | size(GB)=0.93
run=331 | starting date=Tue Mar 14 22:45:36 2017 | nfiles=10 | size(GB)=0.93
run=332 | starting date=Tue Mar 14 22:47:06 2017 | nfiles=10 | size(GB)=0.93
run=333 | starting date=Tue Mar 14 22:48:39 2017 | nfiles=10 | size(GB)=0.93
run=334 | starting date=Tue Mar 14 22:50:21 2017 | nfiles=10 | size(GB)=0.93
run=335 | starting date=Tue Mar 14 22:51:52 2017 | nfiles=10 | size(GB)=0.93
run=336 | starting date=Tue Mar 14 22:53:20 2017 | nfiles=10 | size(GB)=0.93
run=337 | starting date=Tue Mar 14 22:54:48 2017 | nfiles=10 | size(GB)=0.93
run=338 | starting date=Tue Mar 14 22:56:14 2017 | nfiles=10 | size(GB)=0.93
run=339 | starting date=Tue Mar 14 22:57:42 2017 | nfiles=10 | size(GB)=0.93
run=340 | starting date=Tue Mar 14 22:59:08 2017 | nfiles=10 | size(GB)=0.93
run=341 | starting date=Tue Mar 14 23:00:32 2017 | nfiles=10 | size(GB)=0.93
run=342 | starting date=Tue Mar 14 23:02:00 2017 | nfiles=10 | size(GB)=0.93
run=343 | starting date=Tue Mar 14 23:03:33 2017 | nfiles=10 | size(GB)=0.93
run=344 | starting date=Tue Mar 14 23:05:07 2017 | nfiles=10 | size(GB)=0.93
run=345 | starting date=Tue Mar 14 23:06:43 2017 | nfiles=10 | size(GB)=0.93
run=346 | starting date=Tue Mar 14 23:08:17 2017 | nfiles=10 | size(GB)=0.93
run=347 | starting date=Tue Mar 14 23:09:54 2017 | nfiles=10 | size(GB)=0.93
run=348 | starting date=Tue Mar 14 23:11:30 2017 | nfiles=10 | size(GB)=0.93
run=349 | starting date=Tue Mar 14 23:13:11 2017 | nfiles=10 | size(GB)=0.93
run=350 | starting date=Tue Mar 14 23:14:46 2017 | nfiles=10 | size(GB)=0.93
run=351 | starting date=Tue Mar 14 23:16:20 2017 | nfiles=10 | size(GB)=0.93
run=352 | starting date=Tue Mar 14 23:17:51 2017 | nfiles=10 | size(GB)=0.93
run=353 | starting date=Tue Mar 14 23:19:26 2017 | nfiles=10 | size(GB)=0.93
run=354 | starting date=Tue Mar 14 23:21:00 2017 | nfiles=10 | size(GB)=0.93
run=355 | starting date=Tue Mar 14 23:22:32 2017 | nfiles=10 | size(GB)=0.93
run=356 | starting date=Tue Mar 14 23:24:03 2017 | nfiles=10 | size(GB)=0.93
run=357 | starting date=Tue Mar 14 23:25:31 2017 | nfiles=10 | size(GB)=0.93
run=358 | starting date=Tue Mar 14 23:27:12 2017 | nfiles=10 | size(GB)=0.93
run=359 | starting date=Tue Mar 14 23:28:55 2017 | nfiles=10 | size(GB)=0.93
run=360 | starting date=Tue Mar 14 23:30:36 2017 | nfiles=10 | size(GB)=0.93
run=361 | starting date=Tue Mar 14 23:32:14 2017 | nfiles=10 | size(GB)=0.93
run=362 | starting date=Tue Mar 14 23:33:43 2017 | nfiles=10 | size(GB)=0.93
run=363 | starting date=Tue Mar 14 23:35:14 2017 | nfiles=10 | size(GB)=0.93
run=364 | starting date=Tue Mar 14 23:36:47 2017 | nfiles=10 | size(GB)=0.93
run=365 | starting date=Tue Mar 14 23:38:27 2017 | nfiles=10 | size(GB)=0.93
run=366 | starting date=Tue Mar 14 23:40:13 2017 | nfiles=10 | size(GB)=0.93
run=367 | starting date=Tue Mar 14 23:41:50 2017 | nfiles=10 | size(GB)=0.93
run=368 | starting date=Tue Mar 14 23:43:37 2017 | nfiles=10 | size(GB)=0.93
run=369 | starting date=Tue Mar 14 23:45:26 2017 | nfiles=10 | size(GB)=0.93
run=370 | starting date=Tue Mar 14 23:47:10 2017 | nfiles=10 | size(GB)=0.93
run=371 | starting date=Tue Mar 14 23:48:52 2017 | nfiles=10 | size(GB)=0.93
run=372 | starting date=Tue Mar 14 23:50:31 2017 | nfiles=10 | size(GB)=0.93
run=373 | starting date=Tue Mar 14 23:52:11 2017 | nfiles=10 | size(GB)=0.93
run=374 | starting date=Tue Mar 14 23:53:43 2017 | nfiles=10 | size(GB)=0.93
run=375 | starting date=Tue Mar 14 23:55:13 2017 | nfiles=10 | size(GB)=0.93
run=376 | starting date=Tue Mar 14 23:56:42 2017 | nfiles=10 | size(GB)=0.93
run=377 | starting date=Tue Mar 14 23:58:11 2017 | nfiles=10 | size(GB)=0.93
run=378 | starting date=Tue Mar 14 23:59:39 2017 | nfiles=10 | size(GB)=0.93
run=379 | starting date=Wed Mar 15 00:01:09 2017 | nfiles=10 | size(GB)=0.93
run=380 | starting date=Wed Mar 15 00:02:33 2017 | nfiles=10 | size(GB)=0.93
run=381 | starting date=Wed Mar 15 00:03:57 2017 | nfiles=10 | size(GB)=0.93
run=382 | starting date=Wed Mar 15 00:05:20 2017 | nfiles=10 | size(GB)=0.93
run=383 | starting date=Wed Mar 15 00:06:45 2017 | nfiles=10 | size(GB)=0.93
run=384 | starting date=Wed Mar 15 00:08:12 2017 | nfiles=10 | size(GB)=0.93
run=385 | starting date=Wed Mar 15 00:09:49 2017 | nfiles=10 | size(GB)=0.93
