||INDRA@GANIL|||01/04/2001||E372|||||||18/02/2003 11:50:42|||
|||||||||||||||||
|DLT 1 & 1bis|||Piedestaux/Automate||||||||||18/02/2003 11:50:42|||
Tape|Run|Events|Faraday1|Buffers|Gene direct|Gene mrq|G TM|TM %|Trigger|Cible|Evt/Far|T(min)|Date|Remarque etc.|cahier-page||
4|6152|240764|1651|12110|103522|6330|17519|18.0251461025599|M>=4|112Sn|145.82919442762|9|||||
4|6153|241986|1636|12109|107179|6342|17442|17.2972222497694|M>=4|112Sn|147.913202933985|10|||||
4|6154|241926|1627|12110|108152|6304|17191|16.8790746995523|M>=4|112Sn|148.694529809465|10|||||
4|6155|241959|1622|12110|111303|6341|17342|16.5221699281645|M>=4|112Sn|149.173242909988|10|||||
4|6156|242235|1630|12112|109654|6333|17441|16.8804018544149|M>=4|112Sn|148.610429447853|10|||||
4|6157|242014|1632|12109|110617|6348|17502|16.7854299935743|M>=4|112Sn|148.292892156863|10|||||
4|6158|224065|1499|11210|107925|6323|16303|16.0459439774808|M>=4|112Sn|149.47631754503|9|||||
4|6159|240901|1725|12111|87014|6319|17343|21.4920379205651|M>=4|112Sn|139.652753623188|7|||||
4|6160|240899|1759|12117|82273|3169|17949|22.6903822815534|M>=4|112Sn|136.952245594088|8|||||
4|6161|239413|1739|12113|84689|6310|17477|22.2980645325916|M>=4|112Sn|137.672800460034|8|||||
4|6162|240193|1772|12115|79916|3173|17828|23.2307832636201|M>=4|112Sn|135.549097065463|7|||||
4|6163|241579|1757|12115|80912|3165|18000|23.1520187274107|M>=4|112Sn|137.49516220831|7|||||
4|6164|240690|1753|12117|82141|6318|17509|23.0919378025137|M>=4|112Sn|137.301768397034|7|||||
4|6165|242321|1770|12112|80099|3170|18002|23.4007981385433|M>=4|112Sn|136.904519774011|7|||||
4|6166|239886|1748|12110|84275|6310|17944|23.0154556531777|M>=4|112Sn|137.234553775744|8|||||
4|6167|241330|1741|12112|82649|3172|17455|21.9623287240334|M>=4|112Sn|138.615738081562|7|||||
4|6168|239741|1730|12112|85285|6316|17605|22.2935582317112|M>=4|112Sn|138.578612716763|8|||||
