########################################################
#Z	A	Q	Brho0	Run1	Run2	Brhomin	Brhomax
########################################################
7	17	7	1.401	528	530	1.42800	1.54800
7	17	7	1.289	525	527	1.20000	1.42800
7	17	7	1.186	523	524	1.17600	1.20000
7	17	7	1.091	521	522	1.09200	1.17600
7	17	7	1.004	520	520	1.08000	1.09200
7	17	7	0.849	517	517	0.912000	0.948000
7	18	7	1.800	543	547	1.74000	1.90800
7	18	7	1.656	537	542	1.60800	1.74000
7	18	7	1.523	531	536	1.59600	1.60800
8	12	6	1.800	543	547	1.69200	1.87200
8	12	6	1.656	537	542	1.56000	1.69200
8	12	6	1.523	531	536	1.44000	1.56000
8	12	6	1.401	528	530	1.35600	1.44000
8	12	6	1.289	525	527	1.29600	1.35600
8	12	6	1.186	523	524	1.23600	1.29600
8	12	6	1.091	521	522	1.11600	1.23600
8	12	6	1.004	520	520	1.04400	1.11600
8	12	6	0.923	518	519	0.936000	1.04400
8	12	6	0.849	517	517	0.804000	0.948000
8	12	7	1.656	537	542	1.58400	1.57200
8	12	7	1.523	531	536	1.51200	1.58400
8	12	7	1.401	528	530	1.33200	1.51200
8	12	7	1.289	525	527	1.22400	1.33200
8	12	7	1.091	521	522	1.05600	1.08000
8	12	7	0.923	518	519	0.828000	1.04400
8	12	7	0.849	517	517	0.828000	0.840000
8	12	7	0.719	511	513	0.705000	0.753000
8	12	7	0.661	514	514	0.681000	0.717000
8	12	8	1.289	525	527	1.27200	1.28400
8	13	6	1.800	543	547	1.69200	1.93200
8	13	6	1.656	537	542	1.56000	1.69200
8	13	6	1.523	531	536	1.45200	1.56000
8	13	6	1.401	528	530	1.41600	1.45200
8	13	6	1.289	525	527	1.30800	1.41600
8	13	6	1.186	523	524	1.27200	1.30800
8	13	6	1.091	521	522	1.08000	1.27200
8	13	6	1.004	520	520	1.05600	1.08000
8	13	6	0.923	518	519	0.888000	1.05600
8	13	6	0.849	517	517	0.816000	0.900000
8	13	7	1.800	543	547	1.77600	1.82400
8	13	7	1.656	537	542	1.54800	1.77600
8	13	7	1.523	531	536	1.44000	1.54800
8	13	7	1.401	528	530	1.32000	1.44000
8	13	7	1.289	525	527	1.27200	1.32000
8	13	7	1.186	523	524	1.16400	1.27200
8	13	7	1.091	521	522	1.09200	1.16400
8	13	7	1.004	520	520	1.06800	1.09200
8	13	7	0.923	518	519	0.852000	1.06800
8	13	7	0.849	517	517	0.744000	0.864000
8	13	7	0.782	515	516	0.744000	0.756000
8	13	7	0.719	511	513	0.726000	0.756000
8	13	7	0.661	514	514	0.702000	0.738000
8	13	8	1.523	531	536	1.52400	1.51200
8	13	8	1.401	528	530	1.38000	1.52400
8	13	8	1.289	525	527	1.27200	1.38000
8	13	8	0.923	518	519	0.924000	0.936000
8	14	6	1.800	543	547	1.71600	1.94400
8	14	6	1.656	537	542	1.66800	1.71600
8	14	6	1.523	531	536	1.54800	1.66800
8	14	6	1.401	528	530	1.44000	1.54800
8	14	6	1.289	525	527	1.30800	1.44000
8	14	6	1.186	523	524	1.22400	1.30800
8	14	6	1.091	521	522	1.04400	1.22400
8	14	6	1.004	520	520	1.03200	1.04400
8	14	6	0.849	517	517	0.864000	0.924000
8	14	7	1.800	543	547	1.69200	1.94400
8	14	7	1.656	537	542	1.56000	1.69200
8	14	7	1.523	531	536	1.44000	1.56000
8	14	7	1.401	528	530	1.33200	1.44000
8	14	7	1.289	525	527	1.28400	1.33200
8	14	7	1.186	523	524	1.22400	1.28400
8	14	7	1.091	521	522	1.10400	1.22400
8	14	7	1.004	520	520	1.06800	1.10400
8	14	7	0.923	518	519	0.960000	1.06800
8	14	7	0.849	517	517	0.744000	0.972000
8	14	7	0.782	515	516	0.744000	0.756000
8	14	7	0.719	511	513	0.741000	0.756000
8	14	7	0.661	514	514	0.732000	0.753000
8	14	8	1.800	543	547	1.66800	1.78800
8	14	8	1.656	537	542	1.65600	1.66800
8	14	8	1.523	531	536	1.51200	1.65600
8	14	8	1.401	528	530	1.30800	1.51200
8	14	8	1.289	525	527	1.21200	1.30800
8	14	8	1.186	523	524	1.17600	1.21200
8	14	8	0.923	518	519	0.912000	1.00800
8	14	8	0.849	517	517	0.792000	0.924000
8	14	8	0.661	514	514	0.717000	0.741000
8	15	6	1.800	543	547	1.71600	1.72800
8	15	6	1.186	523	524	1.15200	1.29600
8	15	6	1.091	521	522	1.14000	1.15200
8	15	7	1.800	543	547	1.69200	1.94400
8	15	7	1.656	537	542	1.57200	1.69200
8	15	7	1.523	531	536	1.45200	1.57200
8	15	7	1.401	528	530	1.39200	1.45200
8	15	7	1.289	525	527	1.27200	1.39200
8	15	7	1.186	523	524	1.20000	1.27200
8	15	7	1.091	521	522	1.15200	1.20000
8	15	7	1.004	520	520	1.06800	1.15200
8	15	7	0.923	518	519	0.960000	1.06800
8	15	7	0.849	517	517	0.792000	0.972000
8	15	8	1.800	543	547	1.69200	1.87200
8	15	8	1.656	537	542	1.56000	1.69200
8	15	8	1.523	531	536	1.42800	1.56000
8	15	8	1.401	528	530	1.35600	1.42800
8	15	8	1.289	525	527	1.22400	1.35600
8	15	8	1.186	523	524	1.06800	1.22400
8	15	8	1.091	521	522	1.04400	1.06800
8	15	8	1.004	520	520	1.04400	1.04400
8	15	8	0.923	518	519	0.984000	1.04400
8	15	8	0.849	517	517	0.744000	0.996000
8	15	8	0.782	515	516	0.744000	0.756000
8	15	8	0.719	511	513	0.738000	0.756000
8	15	8	0.661	514	514	0.714000	0.750000
8	16	7	1.800	543	547	1.69200	1.95600
8	16	7	1.656	537	542	1.62000	1.69200
8	16	7	1.523	531	536	1.45200	1.62000
8	16	7	1.401	528	530	1.41600	1.45200
8	16	7	1.289	525	527	1.30800	1.41600
8	16	7	1.186	523	524	1.21200	1.30800
8	16	7	1.091	521	522	1.05600	1.21200
8	16	7	1.004	520	520	1.06800	1.05600
8	16	7	0.923	518	519	0.960000	1.06800
8	16	7	0.849	517	517	0.840000	0.972000
8	16	8	1.800	543	547	1.69200	1.96800
8	16	8	1.656	537	542	1.56000	1.69200
8	16	8	1.523	531	536	1.42800	1.56000
8	16	8	1.401	528	530	1.36800	1.42800
8	16	8	1.289	525	527	1.26000	1.36800
8	16	8	1.186	523	524	1.16400	1.26000
8	16	8	1.091	521	522	1.10400	1.16400
8	16	8	1.004	520	520	1.08000	1.10400
8	16	8	0.923	518	519	0.984000	1.08000
8	16	8	0.849	517	517	0.792000	0.996000
8	17	7	1.800	543	547	1.71600	1.99200
8	17	7	1.656	537	542	1.58400	1.71600
8	17	7	1.523	531	536	1.54800	1.58400
8	17	7	1.401	528	530	1.44000	1.54800
8	17	7	1.186	523	524	1.20000	1.28400
8	17	7	1.091	521	522	1.10400	1.20000
8	17	7	1.004	520	520	1.09200	1.10400
8	17	7	0.849	517	517	0.948000	0.960000
8	17	8	1.800	543	547	1.69200	2.00400
8	17	8	1.656	537	542	1.56000	1.69200
8	17	8	1.523	531	536	1.42800	1.56000
8	17	8	1.401	528	530	1.33200	1.42800
8	17	8	1.289	525	527	1.17600	1.33200
8	17	8	1.186	523	524	1.20000	1.17600
